rq_time,start,end,request_id,number_passenger,odt_bin,actual_travel_time,no_show_status,actual_pudo_boarding_duration,const_pudo_boarding_duration,pudo_alighting_duration
25260,1169,3613,0,1,"(1, 0, 'offpeak')",360.0,False,118.39090854661684,30,30
25260,3964,442,1,1,"(3, 2, 'offpeak')",420.0,False,9.89311651683316,30,30
25500,1887,1587,2,1,"(3, 3, 'offpeak')",600.0,False,31.490128704630425,30,30
25920,1323,1587,3,1,"(4, 3, 'offpeak')",1200.0,False,4.81523261133087,30,30
26400,1176,3562,4,1,"(1, 1, 'offpeak')",780.0,False,38.224116016577824,30,30
27060,3723,2508,5,1,"(4, 5, 'offpeak')",900.0,False,22.70290937524488,30,30
27180,418,1587,6,1,"(2, 3, 'offpeak')",900.0,False,34.15587167624086,30,30
27240,1889,2617,7,1,"(3, 2, 'offpeak')",780.0,False,160.54318788465048,30,30
27420,3151,422,8,1,"(4, 5, 'offpeak')",900.0,False,126.07752900526565,30,30
27660,325,3988,9,1,"(1, 4, 'offpeak')",420.0,False,167.49384299146016,30,30
27780,366,1047,10,1,"(3, 2, 'offpeak')",,False,148.55208003958518,30,30
27900,1125,2064,11,1,"(0, 5, 'offpeak')",,False,56.819525589019015,30,30
28260,495,3562,12,1,"(2, 1, 'offpeak')",420.0,False,61.98575321623608,30,30
28320,2355,1520,13,1,"(0, 1, 'offpeak')",,False,36.26760936270946,30,30
28320,852,1140,14,1,"(0, 4, 'offpeak')",,False,162.0650336340852,30,30
28500,332,2094,15,1,"(2, 4, 'offpeak')",900.0,False,40.95847267633452,30,30
28680,3232,33,16,1,"(1, 5, 'offpeak')",,False,32.26638819036408,30,30
28860,1005,385,17,1,"(2, 1, 'offpeak')",,False,13.826633730334484,30,30
29100,1807,3665,18,1,"(2, 5, 'offpeak')",540.0,False,21.143957784818355,30,30
29160,3661,428,19,1,"(3, 1, 'offpeak')",,False,108.4648866064464,30,30
29520,1591,3484,20,1,"(4, 1, 'offpeak')",1800.0,False,16.269144004069116,30,30
29640,1392,2098,21,1,"(2, 3, 'offpeak')",,False,235.4974529020742,30,30
29760,2319,1587,22,1,"(3, 3, 'offpeak')",840.0,False,1.0940366318697656,30,30
29880,2823,2675,23,1,"(1, 5, 'offpeak')",900.0,False,16.823463507004274,30,30
30360,1815,1047,24,1,"(3, 2, 'offpeak')",480.0,False,29.49762855395561,30,30
30360,821,2858,25,1,"(3, 0, 'offpeak')",720.0,False,18.037874120589382,30,30
30360,3516,3852,26,1,"(4, 4, 'offpeak')",,False,62.50494298546945,30,30
30600,3529,3562,27,1,"(1, 1, 'offpeak')",1380.0,False,20.47382705130955,30,30
30660,1,1809,28,1,"(0, 5, 'peak')",,False,1.3777717340668916,30,30
30720,3442,427,29,1,"(3, 1, 'peak')",660.0,False,0.2040108694885413,30,30
30780,2403,3266,30,1,"(0, 5, 'peak')",540.0,False,34.035458729548786,30,30
30780,2311,3562,31,1,"(3, 1, 'peak')",420.0,False,24.199675722826427,30,30
30840,3417,427,32,1,"(3, 1, 'peak')",420.0,False,104.25349465756624,30,30
30840,3178,1587,33,1,"(0, 3, 'peak')",,False,74.56713958267449,30,30
30900,1541,3972,34,1,"(3, 0, 'peak')",780.0,False,1.2656670534555454,30,30
31020,3750,3478,35,1,"(2, 2, 'peak')",,False,24.616435943394382,30,30
31200,866,1809,36,2,"(1, 5, 'peak')",540.0,False,53.098309302828746,30,30
31200,1504,3313,37,1,"(3, 5, 'peak')",,False,30.239211130169256,30,30
31260,3931,3754,38,1,"(0, 0, 'peak')",600.0,False,2.088523756348457,30,30
31320,2205,849,39,1,"(3, 2, 'peak')",420.0,False,31.326576809128262,30,30
31440,2311,3562,40,1,"(3, 1, 'peak')",,False,25.794474778811285,30,30
31560,833,1493,41,1,"(3, 5, 'peak')",360.0,False,40.03236073214274,30,30
31740,2168,1687,42,1,"(2, 4, 'peak')",,False,122.41496762573,30,30
31860,2448,898,43,1,"(0, 2, 'peak')",,False,27.973833654430383,30,30
32220,1312,3044,44,2,"(3, 4, 'peak')",,False,4.8252653715184,30,30
32400,1391,1586,45,2,"(2, 2, 'peak')",,True,1.067931315454219,30,30
32580,2385,2098,46,1,"(2, 3, 'peak')",420.0,False,36.23876023879577,30,30
32700,3178,1809,47,1,"(0, 5, 'peak')",600.0,False,54.15635186582716,30,30
32760,3171,3562,48,1,"(3, 1, 'peak')",480.0,False,9.664340965438486,30,30
32880,748,4068,49,1,"(3, 5, 'peak')",780.0,False,4.848513703798716,30,30
32940,1391,1586,50,2,"(2, 2, 'peak')",,False,151.13972542621823,30,30
33000,1014,3562,51,1,"(3, 1, 'peak')",300.0,False,0.0222719934342452,30,30
33120,802,3541,52,2,"(3, 3, 'peak')",1260.0,False,40.56621408776342,30,30
33120,1985,1587,53,1,"(3, 3, 'peak')",1380.0,False,9.14983402283104,30,30
33120,3752,1610,54,1,"(4, 0, 'peak')",780.0,False,6.847749330002854,30,30
33360,3157,2911,55,1,"(2, 0, 'peak')",,False,65.10152814260651,30,30
33420,2054,704,56,1,"(0, 4, 'peak')",1860.0,False,33.318623327254535,30,30
33600,276,833,57,1,"(2, 5, 'peak')",720.0,False,123.75867742629312,30,30
33720,1336,3475,58,1,"(3, 5, 'peak')",300.0,False,38.54863156665135,30,30
33720,199,1586,59,1,"(2, 2, 'peak')",1620.0,False,275.978143871152,30,30
33720,319,3475,60,1,"(0, 5, 'peak')",660.0,False,14.590200764906845,30,30
34140,3511,3432,61,1,"(4, 2, 'peak')",1620.0,False,68.27553559526794,30,30
34260,2637,3702,62,1,"(3, 1, 'peak')",600.0,False,5.151246136402556,30,30
34320,236,3562,63,1,"(3, 1, 'peak')",360.0,False,5.761192149138307,30,30
34380,1994,3475,64,1,"(0, 5, 'peak')",420.0,False,187.905773477056,30,30
34380,4050,1587,65,1,"(3, 3, 'peak')",,False,44.722115114966286,30,30
34560,1234,2122,66,1,"(2, 5, 'peak')",720.0,False,64.61426088112165,30,30
34740,189,3044,67,1,"(3, 4, 'peak')",840.0,False,0.6417780798501286,30,30
34740,1312,3044,68,2,"(3, 4, 'peak')",,False,19.73983886514493,30,30
34920,870,3562,69,1,"(2, 1, 'peak')",720.0,False,95.99459859354114,30,30
34980,2599,3691,70,1,"(0, 0, 'peak')",900.0,False,74.49197194775516,30,30
35040,2003,1736,71,1,"(0, 2, 'peak')",660.0,False,0.6852397457049473,30,30
35040,1080,427,72,1,"(4, 1, 'peak')",,False,0.9465636339270628,30,30
35160,749,2208,73,1,"(3, 1, 'peak')",,False,8.270510246355334,30,30
35280,2317,3562,74,1,"(3, 1, 'peak')",360.0,False,79.7798072308581,30,30
35400,1315,3562,75,1,"(2, 1, 'peak')",420.0,False,257.6256429820879,30,30
35400,1693,3562,76,1,"(4, 1, 'peak')",,False,48.095412355293256,30,30
35460,1693,3562,77,1,"(4, 1, 'peak')",1320.0,False,42.51372851289294,30,30
35520,2944,2858,78,1,"(1, 0, 'peak')",,False,2.770135638983184,30,30
35520,2494,425,79,1,"(0, 5, 'peak')",,False,124.41295861976197,30,30
35640,674,427,80,1,"(3, 1, 'peak')",420.0,False,84.7340584583459,30,30
35700,1281,989,81,1,"(3, 5, 'peak')",,False,42.92145468863799,30,30
35760,3672,2846,82,1,"(3, 2, 'peak')",,False,130.33580165438963,30,30
35820,3654,427,83,1,"(3, 1, 'peak')",420.0,False,12.056716245279736,30,30
36000,2224,3562,84,1,"(0, 1, 'peak')",360.0,False,23.743460716424806,30,30
36000,1311,3562,85,1,"(3, 1, 'peak')",300.0,False,43.85717034197486,30,30
36000,1926,1587,86,1,"(2, 3, 'peak')",,False,24.07461006935788,30,30
36120,1013,333,87,1,"(3, 0, 'peak')",420.0,False,99.42426076535426,30,30
36180,428,2155,88,1,"(3, 5, 'peak')",,False,43.72690544451478,30,30
36180,3562,1722,89,1,"(3, 1, 'peak')",360.0,False,9.231800250882957,30,30
36480,230,443,90,1,"(3, 3, 'peak')",780.0,False,78.18706128740052,30,30
36600,2455,3475,91,1,"(2, 5, 'peak')",960.0,False,20.646704887178178,30,30
36600,1503,427,92,1,"(3, 1, 'peak')",420.0,False,6.921434249028639,30,30
36720,1786,427,93,1,"(0, 1, 'peak')",360.0,False,40.12392365847739,30,30
36780,748,427,94,1,"(3, 1, 'peak')",360.0,False,111.40668919426994,30,30
36840,2823,3266,95,1,"(1, 5, 'peak')",960.0,False,46.46376051064466,30,30
36840,3315,1587,96,1,"(3, 3, 'peak')",,False,211.90467883895275,30,30
36900,1060,427,97,1,"(2, 1, 'peak')",420.0,False,46.88835024980604,30,30
36900,3537,3562,98,1,"(1, 1, 'peak')",900.0,False,102.32802812653296,30,30
36900,2508,1587,99,1,"(3, 3, 'peak')",,False,83.23081949637637,30,30
36900,332,2311,100,1,"(2, 5, 'peak')",,False,0.4914573923489628,30,30
37080,1802,2122,101,1,"(0, 5, 'peak')",600.0,False,32.639408080004216,30,30
37140,1923,3562,102,1,"(2, 1, 'peak')",900.0,False,74.37969507975816,30,30
37260,427,3691,103,1,"(3, 0, 'peak')",720.0,False,64.6345554418718,30,30
37260,3117,1587,104,1,"(3, 3, 'peak')",,False,297.8494022692994,30,30
37380,2001,802,105,1,"(3, 1, 'peak')",900.0,False,17.370417916965224,30,30
37380,1028,1827,106,1,"(3, 2, 'peak')",,False,10.394186408031535,30,30
37500,301,3807,107,1,"(1, 0, 'peak')",840.0,False,3.745940158659687,30,30
37860,637,1454,108,1,"(4, 4, 'peak')",300.0,False,143.23795599964978,30,30
37980,2131,3562,109,1,"(0, 1, 'peak')",,False,134.32927086905198,30,30
38100,664,2220,110,1,"(3, 5, 'peak')",360.0,False,129.53078311723812,30,30
38160,731,3562,111,1,"(2, 1, 'peak')",660.0,False,21.4681953741514,30,30
38400,598,524,112,1,"(3, 5, 'peak')",600.0,False,23.139481819614478,30,30
38580,824,3562,113,1,"(3, 1, 'peak')",300.0,False,103.73498168508117,30,30
38640,3931,427,114,1,"(0, 1, 'peak')",540.0,False,16.06999222676242,30,30
38820,3526,1014,115,2,"(1, 1, 'peak')",,False,111.23632953111886,30,30
38820,414,427,116,1,"(2, 1, 'peak')",,False,4.222835606766757,30,30
38940,1941,3562,117,1,"(3, 1, 'peak')",,False,32.7016033583059,30,30
39120,694,1587,118,2,"(4, 3, 'peak')",,False,16.59811965303097,30,30
39180,3948,1587,119,2,"(4, 3, 'peak')",1140.0,False,46.28207446748244,30,30
39360,3572,2404,120,1,"(3, 1, 'peak')",420.0,False,25.53346174782946,30,30
39540,852,1140,121,1,"(0, 4, 'peak')",1980.0,False,68.52199436379938,30,30
39600,1517,2846,122,1,"(3, 2, 'peak')",840.0,False,66.0547963338544,30,30
39780,325,3971,123,1,"(1, 0, 'peak')",360.0,False,29.061047443183902,30,30
39840,3691,1227,124,1,"(2, 2, 'peak')",1080.0,False,186.1250787277899,30,30
39900,137,1587,125,1,"(3, 3, 'peak')",,False,1.1276223039802158,30,30
40320,2880,360,126,1,"(0, 5, 'peak')",540.0,False,73.8724909304318,30,30
40620,2426,437,127,1,"(3, 2, 'peak')",540.0,False,22.516612903441505,30,30
40620,1610,2347,128,1,"(2, 5, 'peak')",780.0,False,68.0585621971688,30,30
40620,2316,3562,129,1,"(3, 1, 'peak')",480.0,False,26.295766827850173,30,30
40740,213,427,130,1,"(3, 1, 'peak')",360.0,False,5.659226594606369,30,30
40800,2863,3562,131,1,"(2, 1, 'peak')",840.0,False,19.24413229475028,30,30
40860,4068,3266,132,1,"(2, 5, 'peak')",,True,95.75552121111616,30,30
40860,2378,1429,133,3,"(4, 1, 'peak')",,False,4.631006886031558,30,30
40920,1762,427,134,1,"(3, 1, 'peak')",180.0,False,0.5690471452730486,30,30
40920,2122,1235,135,1,"(3, 0, 'peak')",900.0,False,4.578673778451288,30,30
40920,259,1983,136,1,"(3, 2, 'peak')",240.0,False,27.058334982441917,30,30
41040,328,1123,137,1,"(3, 2, 'peak')",,False,115.60473979281008,30,30
41100,527,3474,138,1,"(3, 5, 'peak')",,False,48.69141521102042,30,30
41100,2220,1815,139,4,"(3, 5, 'peak')",,False,147.40935804678932,30,30
41280,2405,2893,140,2,"(0, 4, 'peak')",1620.0,False,31.046049842904104,30,30
41280,2348,2893,141,2,"(0, 4, 'peak')",,False,64.82869998074842,30,30
41280,439,460,142,1,"(0, 0, 'peak')",,False,125.59238370016894,30,30
41400,3183,2003,143,1,"(0, 1, 'peak')",360.0,False,92.47008145727432,30,30
41580,2589,619,144,1,"(1, 3, 'peak')",360.0,False,5.457800339539049,30,30
41580,1454,3634,145,1,"(4, 3, 'peak')",,False,82.99271061197348,30,30
41640,2404,3973,146,1,"(0, 5, 'peak')",420.0,False,1.937855274544176,30,30
41640,3997,735,147,1,"(3, 0, 'peak')",300.0,False,53.00321044733535,30,30
42000,173,427,148,1,"(2, 1, 'peak')",780.0,False,12.095615191383144,30,30
42060,1941,3562,149,1,"(3, 1, 'peak')",,False,3.91877211452501,30,30
42060,427,1924,150,1,"(3, 0, 'peak')",1080.0,False,55.8732926115494,30,30
42360,3213,2146,151,1,"(2, 1, 'peak')",1080.0,False,193.3145296856529,30,30
42420,3430,2306,152,1,"(3, 1, 'peak')",420.0,False,169.66519348556426,30,30
42420,2433,2091,153,1,"(2, 4, 'peak')",540.0,False,29.683374877484784,30,30
42540,425,734,154,1,"(3, 0, 'peak')",600.0,False,7.90042456468368,30,30
42540,1853,1280,155,1,"(0, 1, 'peak')",600.0,False,2.4020703676634545,30,30
42720,1263,427,156,1,"(3, 1, 'peak')",,False,19.132071435744,30,30
42780,1215,427,157,1,"(3, 1, 'peak')",240.0,False,22.3975108213081,30,30
42960,2069,427,158,1,"(2, 1, 'peak')",660.0,False,27.0965526508917,30,30
43020,886,2478,159,1,"(1, 5, 'peak')",960.0,False,40.00834737148117,30,30
43080,1027,427,160,2,"(3, 1, 'peak')",360.0,False,36.067088275006775,30,30
43080,3053,3804,161,1,"(0, 5, 'peak')",660.0,False,20.19701272552112,30,30
43260,427,1123,162,1,"(3, 2, 'peak')",420.0,False,80.65774186100924,30,30
43260,1086,3150,163,1,"(2, 5, 'peak')",,False,65.53549220716175,30,30
43260,2220,1815,164,4,"(3, 5, 'peak')",,False,20.73225159266003,30,30
43440,2115,427,165,1,"(2, 1, 'peak')",660.0,False,85.31358269344443,30,30
43500,789,1815,166,1,"(4, 5, 'peak')",1020.0,False,35.89436654121342,30,30
43800,328,1059,167,1,"(3, 5, 'peak')",600.0,False,115.88985046472408,30,30
43800,1587,420,168,1,"(5, 5, 'peak')",1020.0,False,0.1073971829167222,30,30
44100,717,1765,169,1,"(4, 4, 'peak')",480.0,False,3.904477603523248,30,30
44100,1900,1267,170,2,"(3, 5, 'peak')",,False,1.194152527566131,30,30
44220,1405,2208,171,1,"(3, 1, 'peak')",180.0,False,22.486922510062094,30,30
