rq_time,start,end,request_id,number_passenger,no_show_status,pudo_boarding_duration,pudo_alighting_duration
23700,482,2313,0,1,FALSE,30.69091225,30
25080,3683,1736,1,1,FALSE,196.5143814,30
26940,578,2122,2,1,FALSE,1.433437352,30
28080,3414,747,3,1,FALSE,11.29070129,30
29460,1965,1587,4,1,FALSE,44.53372419,30
29940,3349,2860,5,1,FALSE,30.51579273,30
30060,1014,3665,6,1,FALSE,13.85306682,30
30120,3873,1587,7,1,FALSE,383.8669435,30
31020,275,3562,8,1,FALSE,103.7252654,30
31620,1786,3475,9,1,FALSE,314.5499215,30
31860,1587,1965,10,1,TRUE,27.76689967,30
31920,1936,2311,11,1,FALSE,145.1070564,30
32040,1390,4023,12,1,FALSE,76.25558231,30
32100,3689,1587,13,1,FALSE,20.84988461,30
34200,3816,2627,14,1,FALSE,20.78153266,30
35400,338,1014,15,1,FALSE,680.2943169,30
35400,2311,2439,16,1,FALSE,1.053571759,30
35760,3475,519,17,1,FALSE,3.579001823,30
35760,1716,1901,18,1,FALSE,229.51305,30
35940,430,1282,19,1,FALSE,26.71597113,30
37320,3970,1815,20,1,FALSE,243.0435041,30
37500,1271,137,21,1,FALSE,69.92213634,30
37740,3561,1587,22,1,FALSE,56.96820016,30
38220,2513,2834,23,1,FALSE,55.90739975,30
39060,1734,4068,24,1,FALSE,40.18360588,30
41100,1767,1587,25,1,FALSE,177.4099637,30
41580,3350,3417,26,1,FALSE,165.1273426,30
41820,3474,744,27,3,FALSE,243.0980934,30
42240,3572,3803,28,1,FALSE,15.52937417,30
43200,2030,236,29,2,FALSE,53.69667303,30
44640,3805,3397,30,1,FALSE,6.811771601,30
45060,3477,744,31,3,TRUE,107.3674687,30
45240,2356,749,32,1,FALSE,51.96426402,30
45900,439,439,33,1,FALSE,17.30360985,30
46560,3350,292,34,1,FALSE,7.881073725,30
47040,553,256,35,1,FALSE,114.7687535,30
47340,1489,4068,36,1,FALSE,93.78033715,30
47520,2181,427,37,1,FALSE,77.3324385,30
47700,439,2301,38,1,FALSE,60.58586657,30
48300,314,2122,39,1,FALSE,32.73052116,30
48420,1235,54,40,1,FALSE,296.9899804,30
49980,3971,735,41,1,FALSE,72.05458658,30
51120,2170,3441,42,1,FALSE,4.844439752,30
51120,3352,2356,43,2,FALSE,27.31098254,30
51360,3661,793,44,1,FALSE,265.9133455,30
51600,1013,3427,45,2,FALSE,262.685138,30
51660,3450,240,46,1,FALSE,4.809027125,30
52320,746,1587,47,1,FALSE,14.96499935,30
52680,748,2122,48,2,FALSE,24.2891448,30
52680,3417,1047,49,1,FALSE,65.43320015,30
53100,2445,3970,50,1,FALSE,19.80759182,30
53280,2131,427,51,1,FALSE,82.72370796,30
54000,3802,3571,52,1,FALSE,66.29418821,30
54000,3672,1281,53,1,FALSE,1.575199738,30
54300,1013,3427,54,2,FALSE,366.8357213,30
54420,173,240,55,1,FALSE,307.5816623,30
54480,184,1518,56,1,FALSE,485.8258776,30
54600,1736,2442,57,1,TRUE,28.90982912,30
54900,1305,3196,58,1,FALSE,375.2066237,30
56040,571,425,59,1,FALSE,55.73132325,30
56400,1810,1587,60,1,FALSE,122.8186165,30
56520,1282,867,61,1,FALSE,186.030414,30
56760,359,2404,62,1,FALSE,52.41161003,30
56760,3805,1517,63,1,FALSE,146.0752178,30
57300,2734,129,64,1,FALSE,43.74941177,30
57480,1135,3474,65,1,FALSE,2.167882184,30
57900,427,351,66,1,FALSE,7.660358479,30
58320,2238,1736,67,1,FALSE,4.256368108,30
59220,3347,230,68,2,FALSE,73.44000935,30
60360,793,3350,69,1,FALSE,19.95967615,30
61020,230,3802,70,2,FALSE,1.542365262,30
61440,1154,2877,71,1,FALSE,10.19742346,30
61980,3416,2687,72,1,TRUE,70.69044827,30
62940,1793,281,73,3,FALSE,117.5097445,30
63120,3970,3816,74,1,FALSE,34.92026564,30
63420,1037,2122,75,1,FALSE,6.817340561,30
63960,2229,1587,76,1,FALSE,229.7215097,30
64920,3421,1235,77,1,FALSE,48.03111183,30
64980,3474,571,78,1,FALSE,37.10963682,30
65040,2130,2513,79,1,FALSE,82.63164847,30
65640,1206,2380,80,1,FALSE,92.63657179,30
66840,3183,1276,81,1,FALSE,76.13556936,30
67920,3119,1587,82,1,FALSE,28.72849416,30
76500,3568,2181,83,1,FALSE,40.37330355,30
79140,3771,3613,84,1,FALSE,5.09253159,30
81060,2208,2404,85,1,FALSE,1.521434324,30
