from_node,to_node,distance,travel_time
0,3057,811.8680089,25919702.452184264
1,2596,302.3705313,15984075.025963956
1,3336,752.9087789,22616807.697621636
2,3463,121.237271,7350852.631813592
3,1348,14.36982408,871270.5115787423
4,2573,59.00546859,1769407.5591757908
5,4,842.8680448,21832876.378267862
6,2520,902.8083695,21157011.311736166
7,2527,612.3060364,14349186.57869678
8,2667,609.2651384,14066597.535708914
9,3375,207.1395888,4610003.225878969
10,3123,287.8996015,11243361.804844934
11,1450,195.2615128,10758450.982833542
12,2539,94.09401367,2706200.6211355072
13,10,17.73932739,692775.1025865527
13,43,140.1966346,4032139.824514246
14,3782,134.3022256,6894197.799555457
15,3,22.2425064,1464309.4960511506
15,16,176.2514067,9047594.370095158
16,2844,168.7794976,10401191.881704519
17,4019,222.5444849,8154879.144294586
18,2836,214.1808374,8826039.765470278
19,20,68.56170713,2825315.0979762315
20,3895,267.0805951,11005951.70709022
21,4063,86.9021125,3581093.0148337735
22,2650,83.56143499,3443429.1935617276
23,24,17.44030793,501593.781742284
23,2571,352.8930319,10149416.577309776
24,13,17.1956148,494556.259480801
24,3840,511.7234601,14717475.55029033
25,2525,389.9413971,9138145.84400804
26,2651,722.559967,16932950.458901655
27,58,140.628584,3246805.978350157
28,30,21.65750617,687594.8531014539
28,3049,206.1928693,5930231.362470248
29,2793,114.7885917,5892495.474527993
30,492,153.7231007,5494039.533767156
30,1679,121.5339027,3858527.629749737
31,4061,551.4479183,12731724.565786632
32,14,188.8053654,9692032.497893443
33,2578,1059.073725,38808502.63411672
34,3388,87.57969207,5861802.112324299
34,3390,191.3883146,4721696.206314519
35,3798,702.9274663,16229055.534582242
36,3642,138.7330118,5716959.062481846
37,964,20.94585036,832029.3583109987
38,355,74.4122279,1718015.3528129153
39,71,471.6481435,24932519.97762684
39,3931,655.7895104,24030630.11343445
40,2565,17.23540524,1134672.8244175785
40,3303,173.5536589,8909109.647329286
41,40,94.14958868,6198228.484869164
41,106,205.9274822,13782945.812877778
42,3037,78.84028071,1820249.3931941306
43,3785,133.4349246,3837668.9636068447
44,2574,180.9414023,5203983.933521146
45,3329,354.0884558,18416112.51906712
46,2738,650.9610806,10955732.850586269
47,3385,305.2274014,7530193.606982344
48,2672,20.39201609,1575332.4503060654
48,1343,73.75740727,3192384.263317714
48,2734,252.1825724,16878848.28854982
49,3116,32.50099913,2175326.5034350595
49,3134,12.0810238,628333.0900547864
50,49,68.3035197,4571627.355255522
51,2608,15.61305679,483836.23599892197
51,3251,54.9156453,1267881.9650057452
52,3261,25.83894377,830672.4784882978
53,3262,417.0864173,13408528.268121358
54,2602,80.36115879,3247429.729100352
55,2591,9.775329937,387225.4975353373
56,71,569.7350869,17084748.136418276
56,130,188.598512,6478779.762816922
57,8,614.568568,14189042.109699583
58,2568,192.8435579,4452335.355260131
59,3902,762.1981511,12827862.634414744
60,3101,444.9842759,7489124.9176749
61,62,241.1888427,12124231.771861745
62,3223,104.6643268,5261331.918371121
63,2700,102.4418121,6414894.6795540955
64,418,13.3681861,773703.9355814654
64,2694,41.55008843,2422897.794272722
65,2629,111.2175321,6964429.272598433
65,2767,123.5821534,5893310.199676857
66,65,28.99237736,1382570.7723343612
66,3656,223.5096241,13996147.368026994
67,3226,128.0736806,6206007.459757439
68,2666,100.980186,4161227.2505807686
69,3559,78.74000955,3480903.354005718
69,2606,169.9812521,9445740.996916296
69,1471,54.06578246,2756296.6806567824
70,2621,575.5622494,14388073.192184368
71,3272,529.1314036,19081625.605843715
72,2828,59.82230477,2465178.7117346483
73,3233,83.8566713,2695831.129947751
74,3377,28.2407436,628512.9744903938
75,797,72.96281787,1684551.6499307535
76,3915,211.4044589,9345674.381036004
77,3588,210.8887098,6695414.988291906
78,60,154.9585276,2607965.7941189115
79,3333,692.0183857,16217218.747328611
80,44,113.762371,3271874.448980384
81,2653,105.2974908,6932137.6306504635
81,3389,390.7939572,20658362.126497336
82,183,103.9923635,6960319.698092626
82,3390,377.2365942,16611122.195984827
83,3469,78.52832295,3385381.529650928
83,2118,151.4523185,9749116.120853214
83,15,91.59614087,6030125.223071047
83,3916,207.0609634,8926465.44105124
84,107,95.66282859,3735926.647447073
84,106,135.266589,8905118.299785975
85,3610,559.8246432,28141615.711418267
86,2576,131.6639121,3978890.6312248395
86,87,99.79758839,2304107.723351008
87,2835,17.03029586,856089.576077886
87,2576,54.47888766,3646330.00165572
88,2523,536.0006204,12560994.748994265
89,3086,144.1269493,3327575.569546031
90,1784,259.841945,8249610.209224033
91,6,412.0520593,9656301.796214342
92,5,782.0228614,20256798.872019913
93,2820,414.2165693,20822097.878891516
94,95,16.03652362,806134.0110808592
94,2810,170.9162125,8037552.141028515
95,2807,19.88802033,1020920.8775972562
95,2946,666.7955995,33518898.725446183
96,3277,119.7691339,5803597.856959172
96,3296,84.63577294,3487700.892039068
97,3132,69.25028662,2853690.3256044406
98,643,22.9694041,1392679.8512556294
98,99,62.20229161,1999684.359918057
99,3285,353.9047267,11377358.109773418
100,2909,17.05127189,393676.5196201369
100,3176,29.2251578,840533.1763594719
101,2680,396.3703278,9778759.359763
101,102,806.6190184,29557598.84215479
102,3332,2272.145172,83260069.45887496
103,104,474.4826869,13422709.19665416
103,3267,693.8621749,25425757.824093763
104,3270,466.3087123,15158601.946818976
105,2837,600.2206776,36392552.470921904
106,107,61.82728964,4138166.376780625
106,41,205.9274822,13556995.88151912
107,105,15.17145734,1015441.8062248387
107,13,688.7951213,26899560.532367315
108,2856,775.5403958,17723437.617252123
109,25,954.9376735,22378644.066634182
110,111,97.73003137,4229972.63238134
111,916,99.95103611,6924071.488481458
111,110,97.73003137,4229972.63238134
111,1092,170.4718559,15809845.724167906
112,1687,89.67603626,2847085.924530231
112,1686,132.4572957,5710277.076436776
113,2271,75.95765777,2411547.023253241
113,2470,77.9863075,2475953.75125522
114,2272,204.6340761,6496839.311059449
115,1843,64.2949313,2041272.13417473
115,3953,31.17234754,1378053.288745171
115,3954,33.09479917,1432416.3492452232
117,118,97.87980789,4236455.29232427
118,119,105.0875331,4548421.635412537
119,120,106.7881421,4622027.764087065
119,118,105.0875331,4548421.635412537
120,119,106.7881421,4622027.764087065
120,4000,295.720337,11102672.632898375
121,122,247.408882,7854878.235051712
122,123,104.402815,3314640.0919883
123,3953,32.69899973,1038146.4853588827
123,2457,167.8758105,9512941.532229748
124,125,79.70339386,4803509.6315978095
124,1874,50.28572125,4110600.862616176
124,1875,184.9975605,14882564.27943548
125,2000,252.9645362,13605791.42035722
125,124,79.70339386,4803509.6315978095
125,686,79.46011636,4788847.949619519
126,240,334.3901963,30511715.36848522
126,127,79.01501837,7209791.965547664
127,2253,58.72139682,4772500.478051199
127,1181,153.9312675,14275843.82418654
127,126,79.01501837,7209791.965547664
128,255,109.5322977,8669461.235027984
128,129,93.4719097,4045671.677010748
128,2633,161.3423012,12979561.255197715
129,128,93.4719097,4315383.122144798
130,3387,345.2931007,8518645.07462231
130,3268,1013.065892,34801074.13992067
131,3939,114.7365402,3379862.231222298
132,3271,224.0472338,7505494.94282358
133,147,117.0364566,3715740.1475861548
134,2584,314.3819527,16619029.300624676
134,2637,147.7606227,9105884.371787332
135,1201,88.09052762,3307314.9454768673
136,3029,12.27819713,659525.3727200454
137,749,210.3361438,19821554.463879853
138,200,853.6778709,25147294.74783934
139,3708,118.9357727,5080827.157052459
140,2706,47.82379598,2069920.0166742965
141,142,89.18349519,5293001.496002692
142,1668,100.2800702,4433136.784620974
143,66,109.3943474,4380918.853226667
143,3621,70.97217913,3439066.2551820283
144,74,20.1403475,448234.29205149505
144,3378,30.4108698,965501.63188133
145,3386,526.6614905,28289708.356500506
145,3387,796.4945349,40746509.14252694
146,3878,48.27022087,2926717.8075016867
147,2870,115.8481739,3678013.8714661165
148,3938,267.1390545,8024654.23998765
149,3480,51.77672961,2434866.522690984
150,149,97.07429387,4565042.058778251
151,150,235.8616452,15648612.62231037
152,166,114.2511223,3285931.230171612
153,202,104.578424,3832152.520015377
154,3720,43.50840956,2465471.0823923857
155,153,160.4928723,5881071.2704789685
156,154,174.1608006,8940276.328108497
157,3264,57.598139,2546272.935179445
158,92,300.3246108,11403508.824808175
159,138,354.4105555,10440081.678634923
160,132,40.59516045,1359922.0406780064
160,740,264.468963,15766633.271071665
160,3640,42.69280134,2654484.6805686355
161,163,711.8087042,16266976.20331063
162,3394,368.7286462,12352265.825104369
162,146,171.3932293,10391906.381788937
163,3064,825.7764416,18871482.809452616
164,3556,88.79586416,3828018.5684416424
165,3264,13.91895135,528511.0805755436
165,3265,152.6709478,6581694.186971113
166,3639,198.0411599,8035842.751492931
166,458,284.5802175,9035014.987820202
167,3345,38.0893646,1977290.3466042366
168,185,124.6672423,4007812.7045062273
169,148,267.6291156,8039375.301756286
170,2929,47.51163312,2234294.9387146025
171,1218,125.0363217,8848878.996084273
171,2348,344.5493305,22353291.970582403
171,611,158.577318,8843238.499794869
172,2596,123.4854103,7732642.421141264
172,3873,87.99223597,4576469.218065052
173,2862,492.8348316,26472703.822913684
173,3450,214.5397566,13434455.281337898
174,2826,318.0610527,13587276.54003011
175,3357,6.424148194,586176.8179318417
175,2456,114.8261742,10649171.903301807
176,175,51.31171581,4681980.767962899
177,2250,74.62432761,3229906.499411153
178,3555,37.81754758,1266873.0931303855
179,1264,88.21119678,8180854.280347589
180,3686,31.39202022,1965764.7540210632
180,63,19.40874548,978651.5362813743
181,3407,1188.995625,43569336.84226867
182,1933,209.8067987,13138077.993603628
183,3388,18.49011997,961669.6739147868
183,2039,404.1895712,27939817.011122942
184,1281,81.90763507,7473731.215209831
185,2531,214.3101453,7362031.7453808
186,3694,86.1701815,5956559.184792656
187,1709,112.1962064,4959920.038207751
187,1835,112.2001461,4836984.772612525
188,1709,148.6992591,6573630.771211399
188,3364,121.6328852,6759055.578640714
189,1887,215.574542,12992099.063256044
189,1878,46.48724373,3619137.835964496
189,1877,98.92111613,8086295.974716423
190,3600,17.51410606,1220606.614526192
190,3599,19.18188999,956856.9962488229
190,3643,298.9934967,20668082.947136693
191,181,869.8860472,31875944.199371126
192,253,80.89731005,5604131.580872679
192,2304,102.7342482,4446566.24011122
193,1780,81.0231703,3338831.483540377
194,203,197.0588772,8495272.254338996
195,168,202.5960486,6513074.347769116
196,1105,124.3039679,5380151.577932569
196,2181,174.9655484,9410586.925237421
196,3751,188.6611919,9363307.387337035
197,2701,20.29525651,1090163.0328874148
197,2710,21.62694903,1332780.6387762215
198,197,22.56483374,1192834.4800602712
199,1390,193.3492346,15585650.730285656
199,3449,114.3414004,10775248.866553338
199,198,411.450777,21750334.138596438
200,3067,524.8594973,11994622.856076472
200,2645,451.1394976,15497648.503538389
201,3720,1.323430283,74994.21666416229
201,3721,11.41400561,646792.2193398299
202,2904,916.9327716,33599915.708188176
203,161,319.7374175,10711078.773047179
204,2667,159.4867341,3549463.2533703046
205,3457,338.5077551,9971623.466956731
206,1934,168.2622821,7282764.961815693
206,207,232.7409937,13678533.263962863
206,741,58.60271587,2536455.589385244
207,206,232.7409937,10073546.68889646
208,3339,13.21642977,564593.7618283381
209,210,56.83990593,3057155.4255891405
210,211,88.01208355,6667494.411107333
210,209,56.83990593,2460157.2630813904
211,212,36.43228845,2883608.93654856
211,210,88.01208355,3809358.2853392228
211,1491,92.276767,3993943.2490647407
212,211,36.43228845,1367832.1078801227
212,213,192.2392075,10049874.573543979
212,2306,108.2577258,10040002.991197402
213,212,192.2392075,15465135.62382039
213,1531,90.47264365,6853898.028385276
213,3419,233.0045206,19046929.41507168
214,3419,17.65025997,1116796.023781438
214,1518,328.2336029,20553951.073489252
214,236,133.075822,8760891.703414699
215,3745,14.26238684,509735.47094152065
215,3743,37.36666719,2541990.701713873
216,3358,8.884675968,503463.8567308605
216,3355,61.33179374,4554544.76158072
216,3604,68.63658887,4669230.194510011
217,1313,53.40018195,3218285.6450942643
217,3358,49.04772761,3282816.6722178897
217,218,113.4140711,6426783.131479126
218,217,113.4140711,7176120.004097053
218,219,320.8309152,18180378.271530814
219,1316,47.48634491,2554070.676215309
219,220,89.24238406,6071007.331923812
219,218,320.8309152,19126718.406264775
220,221,79.41255021,5402300.483485517
220,219,89.24238406,5320291.371524626
221,220,79.41255021,4734274.079613653
221,222,83.74840181,5697261.080085841
222,221,83.74840181,4992761.054053723
222,223,171.1869768,11645558.354586542
223,277,85.23237985,6746127.204631063
223,224,40.59073477,2761318.5260078064
223,222,171.1869768,10205516.192460246
224,225,206.6339032,14056952.358940085
224,223,40.59073477,2568323.145157798
225,496,101.1204712,9378082.034732753
225,224,206.6339032,13074477.194067946
225,4023,226.284365,15393739.794536777
226,1063,106.6495682,4714716.720130311
226,4023,38.5679907,2440336.78439932
226,227,190.5818873,12964961.070241341
226,1062,328.3386928,22696585.088619065
227,1941,88.7119865,4771407.102338108
227,228,188.1326953,12798346.71351921
227,226,190.5818873,12058807.87715996
228,527,54.26906959,3270651.171327713
228,229,310.2742528,21107428.75716026
228,227,188.1326953,11697413.66289391
229,728,55.8145704,3363794.356924677
229,230,186.2937593,12673247.026228469
229,228,310.2742528,20426543.958542187
230,2194,269.9872584,12596336.677160196
230,231,308.6159769,20994619.075984117
230,229,186.2937593,12264432.606027534
230,1350,88.34501267,4121763.115262284
231,232,17.47196923,1188588.2971761166
231,1352,92.62359062,4008954.544944668
231,230,308.6159769,19188630.338265054
232,233,91.00631587,6191004.607415046
232,231,17.47196923,1086344.1425803222
232,661,113.1062132,8553396.462948982
233,234,51.98164808,3536222.9498159285
233,232,91.00631587,5758299.984316146
234,235,50.70028291,3449053.860729636
234,233,51.98164808,3289067.5823556744
234,1261,124.3527034,5382260.95807708
235,4050,22.26750946,1514820.7282780802
235,234,50.70028291,3207990.9564850884
236,2319,76.93436134,4626327.013924086
236,4050,165.2305819,10454738.752165651
236,214,138.6448781,9431774.829539232
237,238,81.22670416,3515672.007799272
237,1257,74.97161337,4406192.87107508
237,686,254.783101,11027578.005776754
238,239,77.8641982,3370135.288227458
238,237,81.22670416,3515672.007799272
239,240,72.76910312,4385598.539611417
239,238,77.8641982,3370135.288227458
239,687,327.2192072,14162773.42690341
240,239,72.76910312,3149608.266344189
240,126,334.3901963,30511715.36848521
240,1179,76.86396224,7013517.035595154
241,1177,65.41823326,3844726.5577057023
242,243,82.12269369,3554452.4230378587
243,1382,167.1772225,6276585.480309746
243,1381,240.5943233,9032993.927643703
244,243,83.24193238,3602895.557263964
245,244,143.0682278,6192310.386753209
246,251,20.79932893,1794144.5267346294
246,2013,86.73894765,6571045.9900220195
246,247,74.5059859,6686912.947665382
247,339,182.1500764,10977696.23216619
247,248,146.6776473,13164320.248185327
247,246,74.5059859,6426866.333033952
248,2668,163.3738495,10755527.050374875
248,434,367.1184819,24168817.555067576
248,247,146.6776473,12652374.460755913
249,250,98.35306362,8483908.851958847
249,1954,104.307494,6286332.710123445
249,1955,74.88103203,5672730.862113718
250,249,98.35306362,7450891.690847401
250,612,387.4787666,19908970.262015037
