from_node,to_node,distance,travel_time,highway,max_speed_mps,highway_group,peak_cv,offpeak_cv,hr_0,hr_1,hr_2,hr_3,hr_4,hr_5,hr_6,hr_7,hr_8,hr_9,hr_10,hr_11,hr_12,hr_13,hr_14,hr_15,hr_16,hr_17,hr_18,hr_19,hr_20,hr_21,hr_22,hr_23,from_lat,from_lon,from_h3_id,to_lat,to_lon,to_h3_id,mid_lat,mid_lon,mid_h3_id,same_origin_dest_hex
0,3057,811.8680089,43.5024842,motorway,28.84098113,group_1,0.6,0.4,42.224708235,42.224708235,42.224708235,42.224708235,42.224708235,42.224708235,42.224708235,87.55715499,87.55715499,91.935012735,60.80357984999999,87.55715499,91.935012735,87.55715499,91.935012735,91.935012735,91.935012735,101.12851401,87.55715499,42.224708235,42.224708235,42.224708235,42.224708235,42.224708235,37.348484,-122.059974,87283472bffffff,37.3411828,-122.059952,872834729ffffff,37.3448334,-122.059963,87283472bffffff,False
1,2596,302.3705313,24.34829475,motorway_link,19.67495814,group_1,0.6,0.4,23.05244025,23.05244025,23.05244025,23.05244025,23.05244025,23.05244025,23.05244025,47.8015401,50.191617105,50.191617105,47.8015401,50.191617105,50.191617105,50.191617105,50.191617105,50.191617105,50.191617105,52.58169411,50.191617105,23.05244025,23.05244025,23.05244025,23.05244025,23.05244025,37.3256491,-122.0507934,872834728ffffff,37.3229507,-122.0507156,872834728ffffff,37.3242999,-122.0507545,872834728ffffff,True
1,3336,752.9087789,38.32095258,motorway,28.84098113,group_1,0.6,0.4,39.158278395,39.158278395,39.158278395,39.158278395,39.158278395,39.158278395,39.158278395,39.158278395,85.258536375,39.158278395,85.258536375,85.258536375,85.258536375,67.66550506499999,85.258536375,81.198606075,81.198606075,93.78439002,81.198606075,39.158278395,39.158278395,39.158278395,39.158278395,39.158278395,37.3256491,-122.0507934,872834728ffffff,37.3191164,-122.0486499,872834728ffffff,37.32238275,-122.04972165,872834728ffffff,True
2,3463,121.237271,11.09136515,primary,16.87712414,group_2,0.397907306,0.6,10.7752899735,10.7752899735,10.7752899735,10.7752899735,10.7752899735,10.7752899735,10.7752899735,18.619701075,22.34364129,22.34364129,23.46082335,22.34364129,22.34364129,22.34364129,22.34364129,22.34364129,23.46082335,24.578005425,23.46082335,10.7752899735,10.7752899735,10.7752899735,10.7752899735,10.7752899735,37.3559053,-122.0177816,87283470cffffff,37.3566919,-122.0187314,87283470cffffff,37.3562986,-122.0182565,87283470cffffff,True
3,1348,14.36982408,1.314620204,primary,16.87712414,group_2,0.397907306,0.6,1.2771569340000002,1.2771569340000002,1.2771569340000002,1.2771569340000002,1.2771569340000002,1.2771569340000002,1.2771569340000002,2.206927182,2.6483126175,2.6483126175,2.7807282495,2.6483126175,2.6483126175,2.6483126175,2.6483126175,2.6483126175,2.7807282495,2.91314388,2.7807282495,1.2771569340000002,1.2771569340000002,1.2771569340000002,1.2771569340000002,1.2771569340000002,37.3531698,-122.0140781,872834701ffffff,37.3532395,-122.014215,872834701ffffff,37.35320465,-122.01414655,872834701ffffff,True
4,2573,59.00546859,3.011260606,motorway,28.84098113,group_1,0.6,0.4,3.0688346730000005,3.0688346730000005,3.0688346730000005,3.0688346730000005,3.0688346730000005,3.0688346730000005,3.0688346730000005,3.0688346730000005,5.3029463145,6.681712355999999,4.419121929,6.3635355765,6.681712355999999,5.3029463145,6.681712355999999,6.681712355999999,6.681712355999999,7.349883590999999,6.3635355765,3.0688346730000005,3.0688346730000005,3.0688346730000005,3.0688346730000005,3.0688346730000005,37.3878941,-122.068844,872834772ffffff,37.3873641,-122.068811,872834772ffffff,37.3876291,-122.0688275,872834772ffffff,True
5,4,842.8680448,40.42940314,motorway,28.84098113,group_1,0.6,0.4,43.83699921,43.83699921,43.83699921,43.83699921,43.83699921,43.83699921,43.83699921,43.83699921,43.83699921,95.44542165,63.12527887500001,90.900401565,90.900401565,43.83699921,75.75033465,95.44542165,95.44542165,99.990441735,90.900401565,43.83699921,43.83699921,43.83699921,43.83699921,43.83699921,37.3954537,-122.0686987,872834709ffffff,37.3878941,-122.068844,872834772ffffff,37.3916739,-122.06877135,872834772ffffff,False
6,2520,902.8083695,35.77428633,motorway,28.84098113,group_1,0.6,0.4,46.954455120000006,46.954455120000006,46.954455120000006,46.954455120000006,46.954455120000006,46.954455120000006,46.954455120000006,46.954455120000006,102.23299605,46.954455120000006,46.954455120000006,46.954455120000006,46.954455120000006,102.23299605,97.36475814,46.954455120000006,46.954455120000006,46.954455120000006,46.954455120000006,46.954455120000006,46.954455120000006,46.954455120000006,46.954455120000006,46.954455120000006,37.3962104,-122.0148121,87283470affffff,37.3983583,-122.0246679,872834708ffffff,37.39728435,-122.01974,872834708ffffff,False
7,2527,612.3060364,23.2215463,motorway,28.84098113,group_1,0.6,0.4,31.84562448,31.84562448,31.84562448,31.84562448,31.84562448,31.84562448,31.84562448,31.84562448,69.33684126,31.84562448,31.84562448,31.84562448,31.84562448,31.84562448,66.03508692,31.84562448,31.84562448,31.84562448,31.84562448,31.84562448,31.84562448,31.84562448,31.84562448,31.84562448,37.4055796,-122.0565203,872834709ffffff,37.4070483,-122.0632014,872834754ffffff,37.40631395,-122.05986085,872834709ffffff,False
8,2667,609.2651384,30.52635437,trunk,21.02392057,group_2,0.397907306,0.6,43.46942352,43.46942352,43.46942352,43.46942352,43.46942352,43.46942352,43.46942352,43.46942352,43.46942352,43.46942352,43.46942352,43.46942352,43.46942352,43.46942352,43.46942352,43.46942352,43.46942352,99.152016285,43.46942352,43.46942352,43.46942352,43.46942352,43.46942352,43.46942352,37.3820969,-122.0221489,872834708ffffff,37.3792616,-122.0163161,87283470effffff,37.38067925,-122.0192325,872834708ffffff,False
