from_node,to_node,distance,travel_time,highway,max_speed_mps,highway_group,peak_cv,offpeak_cv,hr_0,hr_1,hr_2,hr_3,hr_4,hr_5,hr_6,hr_7,hr_8,hr_9,hr_10,hr_11,hr_12,hr_13,hr_14,hr_15,hr_16,hr_17,hr_18,hr_19,hr_20,hr_21,hr_22,hr_23
0,3057,811.8680089,43.5024842,motorway,28.84098113,group_1,0.5,0.01,28.14980549,28.14980549,28.14980549,28.14980549,28.14980549,28.14980549,28.14980549,58.37143666,58.37143666,61.29000849,40.5357199,58.37143666,61.29000849,58.37143666,61.29000849,61.29000849,61.29000849,67.41900934,58.37143666,28.14980549,28.14980549,28.14980549,28.14980549,28.14980549
1,2596,302.3705313,24.34829475,motorway_link,19.67495814,group_1,0.5,0.01,15.3682935,15.3682935,15.3682935,15.3682935,15.3682935,15.3682935,15.3682935,31.8676934,33.46107807,33.46107807,31.8676934,33.46107807,33.46107807,33.46107807,33.46107807,33.46107807,33.46107807,35.05446274,33.46107807,15.3682935,15.3682935,15.3682935,15.3682935,15.3682935
1,3336,752.9087789,38.32095258,motorway,28.84098113,group_1,0.5,0.01,26.10551893,26.10551893,26.10551893,26.10551893,26.10551893,26.10551893,26.10551893,26.10551893,56.83902425,26.10551893,56.83902425,56.83902425,56.83902425,45.11033671,56.83902425,54.13240405,54.13240405,62.52292668,54.13240405,26.10551893,26.10551893,26.10551893,26.10551893,26.10551893
2,3463,121.237271,11.09136515,primary,16.87712414,group_2,0.6,0.25,7.183526649,7.183526649,7.183526649,7.183526649,7.183526649,7.183526649,7.183526649,12.41313405,14.89576086,14.89576086,15.6405489,14.89576086,14.89576086,14.89576086,14.89576086,14.89576086,15.6405489,16.38533695,15.6405489,7.183526649,7.183526649,7.183526649,7.183526649,7.183526649
3,1348,14.36982408,1.314620204,primary,16.87712414,group_2,0.6,0.25,0.851437956,0.851437956,0.851437956,0.851437956,0.851437956,0.851437956,0.851437956,1.471284788,1.765541745,1.765541745,1.853818833,1.765541745,1.765541745,1.765541745,1.765541745,1.765541745,1.853818833,1.94209592,1.853818833,0.851437956,0.851437956,0.851437956,0.851437956,0.851437956
4,2573,59.00546859,3.011260606,motorway,28.84098113,group_1,0.5,0.01,2.045889782,2.045889782,2.045889782,2.045889782,2.045889782,2.045889782,2.045889782,2.045889782,3.535297543,4.454474904,2.946081286,4.242357051,4.454474904,3.535297543,4.454474904,4.454474904,4.454474904,4.899922394,4.242357051,2.045889782,2.045889782,2.045889782,2.045889782,2.045889782
5,4,842.8680448,40.42940314,motorway,28.84098113,group_1,0.5,0.01,29.22466614,29.22466614,29.22466614,29.22466614,29.22466614,29.22466614,29.22466614,29.22466614,29.22466614,63.6302811,42.08351925,60.60026771,60.60026771,29.22466614,50.5002231,63.6302811,63.6302811,66.66029449,60.60026771,29.22466614,29.22466614,29.22466614,29.22466614,29.22466614
6,2520,902.8083695,35.77428633,motorway,28.84098113,group_1,0.5,0.01,31.30297008,31.30297008,31.30297008,31.30297008,31.30297008,31.30297008,31.30297008,31.30297008,68.1553307,31.30297008,31.30297008,31.30297008,31.30297008,68.1553307,64.90983876,31.30297008,31.30297008,31.30297008,31.30297008,31.30297008,31.30297008,31.30297008,31.30297008,31.30297008
7,2527,612.3060364,23.2215463,motorway,28.84098113,group_1,0.5,0.01,21.23041632,21.23041632,21.23041632,21.23041632,21.23041632,21.23041632,21.23041632,21.23041632,46.22456084,21.23041632,21.23041632,21.23041632,21.23041632,21.23041632,44.02339128,21.23041632,21.23041632,21.23041632,21.23041632,21.23041632,21.23041632,21.23041632,21.23041632,21.23041632
8,2667,609.2651384,30.52635437,trunk,21.02392057,group_2,0.6,0.25,28.97961568,28.97961568,28.97961568,28.97961568,28.97961568,28.97961568,28.97961568,28.97961568,28.97961568,28.97961568,28.97961568,28.97961568,28.97961568,28.97961568,28.97961568,28.97961568,28.97961568,66.10134419,28.97961568,28.97961568,28.97961568,28.97961568,28.97961568,28.97961568
9,3375,207.1395888,10.42915969,trunk_link,21.81013333,group_2,0.6,0.25,9.497401305,9.497401305,9.497401305,9.497401305,9.497401305,9.497401305,9.497401305,9.497401305,9.497401305,9.497401305,9.497401305,9.497401305,9.497401305,9.497401305,19.69381135,9.497401305,9.497401305,21.66319248,9.497401305,9.497401305,9.497401305,9.497401305,9.497401305,9.497401305
10,3123,287.8996015,20.26425424,primary,16.87712414,group_2,0.6,0.25,17.05856988,17.05856988,17.05856988,17.05856988,17.05856988,17.05856988,17.05856988,29.47720875,17.05856988,17.05856988,35.3726505,14.2154749,17.05856988,17.05856988,35.3726505,35.3726505,29.47720875,17.05856988,17.05856988,17.05856988,17.05856988,17.05856988,17.05856988,17.05856988
11,1450,195.2615128,18.04328622,primary_link,11.96245926,group_2,0.6,0.25,16.32285708,16.32285708,16.32285708,16.32285708,16.32285708,16.32285708,16.32285708,28.20589704,16.32285708,16.32285708,33.84707645,16.32285708,16.32285708,16.32285708,16.32285708,16.32285708,28.20589704,16.32285708,16.32285708,16.32285708,16.32285708,16.32285708,16.32285708,16.32285708
12,2539,94.09401367,5.744355373,primary,16.87712414,group_2,0.6,0.25,5.575239767,5.575239767,5.575239767,5.575239767,5.575239767,5.575239767,5.575239767,5.575239767,5.575239767,5.575239767,5.575239767,5.575239767,5.575239767,5.575239767,5.575239767,9.634014317,5.575239767,5.575239767,5.575239767,5.575239767,5.575239767,5.575239767,5.575239767,5.575239767
13,10,17.73932739,1.248609718,primary,16.87712414,group_2,0.6,0.25,1.051087095,1.051087095,1.051087095,1.051087095,1.051087095,1.051087095,1.051087095,1.8162785,1.051087095,1.051087095,2.1795342,0.875905912,1.051087095,1.051087095,2.1795342,2.1795342,1.8162785,1.051087095,1.051087095,1.051087095,1.051087095,1.051087095,1.051087095,1.051087095
13,43,140.1966346,8.558879148,primary,16.87712414,group_2,0.6,0.25,8.306903088,8.306903088,8.306903088,8.306903088,8.306903088,8.306903088,8.306903088,8.306903088,8.306903088,8.306903088,8.306903088,8.306903088,8.306903088,8.306903088,8.306903088,14.35432854,8.306903088,8.306903088,8.306903088,8.306903088,8.306903088,8.306903088,8.306903088,8.306903088
14,3782,134.3022256,12.03720632,primary,16.87712414,group_2,0.6,0.25,7.957648735,7.957648735,7.957648735,7.957648735,7.957648735,7.957648735,7.957648735,16.50098042,7.957648735,17.32602944,17.32602944,16.50098042,16.50098042,16.50098042,17.32602944,13.75081701,17.32602944,19.05863238,17.32602944,7.957648735,7.957648735,7.957648735,7.957648735,7.957648735
15,3,22.2425064,2.239968561,secondary,15.28876023,group_2,0.6,0.25,1.454827342,1.454827342,1.454827342,1.454827342,1.454827342,1.454827342,1.454827342,2.513941646,3.016729975,3.016729975,3.016729975,3.016729975,3.016729975,3.016729975,3.016729975,3.016729975,3.167566474,3.318402973,3.167566474,1.454827342,1.454827342,1.454827342,1.454827342,1.454827342
15,16,176.2514067,13.27624816,primary,16.87712414,group_2,0.6,0.25,10.44321326,10.44321326,10.44321326,10.44321326,10.44321326,10.44321326,10.44321326,10.44321326,10.44321326,22.73779937,22.73779937,21.65504702,10.44321326,10.44321326,10.44321326,18.04587252,22.73779937,10.44321326,22.73779937,10.44321326,10.44321326,10.44321326,10.44321326,10.44321326
16,2844,168.7794976,14.41982537,primary,16.87712414,group_2,0.6,0.25,10.00048919,10.00048919,10.00048919,10.00048919,10.00048919,10.00048919,10.00048919,10.00048919,21.77386511,21.77386511,20.73701439,20.73701439,10.00048919,10.00048919,21.77386511,21.77386511,21.77386511,23.95125162,21.77386511,10.00048919,10.00048919,10.00048919,10.00048919,10.00048919
17,4019,222.5444849,12.1950229,motorway,28.84098113,group_1,0.5,0.01,7.716259164,7.716259164,7.716259164,7.716259164,7.716259164,7.716259164,7.716259164,16.80045675,16.80045675,16.80045675,16.80045675,16.000435,16.000435,16.000435,16.80045675,16.80045675,16.000435,18.48050243,16.80045675,7.716259164,7.716259164,7.716259164,7.716259164,7.716259164
18,2836,214.1808374,11.64266329,trunk,21.02392057,group_2,0.6,0.25,10.18748319,10.18748319,10.18748319,10.18748319,10.18748319,10.18748319,10.18748319,10.18748319,22.18100339,10.18748319,22.18100339,10.18748319,10.18748319,10.18748319,10.18748319,10.18748319,10.18748319,21.12476514,10.18748319,10.18748319,10.18748319,10.18748319,10.18748319,10.18748319
19,20,68.56170713,3.726948126,trunk,21.02392057,group_2,0.6,0.25,3.261128527,3.261128527,3.261128527,3.261128527,3.261128527,3.261128527,3.261128527,3.261128527,7.100389919,3.261128527,7.100389919,3.261128527,3.261128527,3.261128527,3.261128527,3.261128527,3.261128527,6.762276114,3.261128527,3.261128527,3.261128527,3.261128527,3.261128527,3.261128527
20,3895,267.0805951,14.51824298,trunk,21.02392057,group_2,0.6,0.25,12.70365316,12.70365316,12.70365316,12.70365316,12.70365316,12.70365316,12.70365316,12.70365316,27.65940996,12.70365316,27.65940996,12.70365316,12.70365316,12.70365316,12.70365316,12.70365316,12.70365316,26.3422952,12.70365316,12.70365316,12.70365316,12.70365316,12.70365316,12.70365316
21,4063,86.9021125,4.723914833,trunk,21.02392057,group_2,0.6,0.25,4.133487481,4.133487481,4.133487481,4.133487481,4.133487481,4.133487481,4.133487481,4.133487481,8.999759623,4.133487481,8.999759623,4.133487481,4.133487481,4.133487481,4.133487481,4.133487481,4.133487481,8.571199641,4.133487481,4.133487481,4.133487481,4.133487481,4.133487481,4.133487481
22,2650,83.56143499,4.542318833,trunk,21.02392057,group_2,0.6,0.25,3.974588598,3.974588598,3.974588598,3.974588598,3.974588598,3.974588598,3.974588598,3.974588598,8.653792262,3.974588598,8.653792262,3.974588598,3.974588598,3.974588598,3.974588598,3.974588598,3.974588598,8.241706916,3.974588598,3.974588598,3.974588598,3.974588598,3.974588598,3.974588598
23,24,17.44030793,1.093434609,primary,16.87712414,group_2,0.6,0.25,1.033369654,1.033369654,1.033369654,1.033369654,1.033369654,1.033369654,1.033369654,1.033369654,1.033369654,1.033369654,1.033369654,1.033369654,1.033369654,1.033369654,1.033369654,1.033369654,1.033369654,2.474928588,1.033369654,1.033369654,1.033369654,1.033369654,1.033369654,1.033369654
