node_index,is_stop_only,pos_x,pos_y,osmid,y,x
0,FALSE,583257.5604,4133946.334,302878,37.348484,-122.059974
1,FALSE,584096.1579,4131421.081,302889,37.3256491,-122.0507934
2,FALSE,586986.048,4134807.718,26027688,37.3559053,-122.0177816
3,FALSE,587317.2105,4134507.649,26027690,37.3531698,-122.0140781
4,FALSE,582428.7999,4138310.867,26028038,37.3878941,-122.068844
5,FALSE,582433.3834,4139149.69,26028045,37.3954537,-122.0686987
6,FALSE,587202.3567,4139282.094,26028101,37.3962104,-122.0148121
7,FALSE,583500.1333,4140283.817,26028106,37.4055796,-122.0565203
8,FALSE,586569.1634,4137709.517,26028723,37.3820969,-122.0221489
9,FALSE,587160.1897,4137372.562,26028729,37.3790047,-122.0155135
10,FALSE,585280.4301,4136259.969,26028750,37.3691522,-122.0368711
11,FALSE,585521.001,4137184.295,26028751,37.3774606,-122.0340477
12,FALSE,583219.733,4136915.635,26029615,37.3752487,-122.0600673
13,FALSE,585276.6836,4136242.666,26029622,37.3689966,-122.0369154
14,FALSE,586974.6046,4134796.637,26029629,37.3558065,-122.0179121
15,FALSE,587318.5136,4134485.493,26029630,37.35297,-122.014066
16,FALSE,587481.296,4134418.89,26029632,37.3523544,-122.0122361
17,FALSE,582554.5723,4137222.174,26029664,37.3780709,-122.0675449
18,FALSE,585765.8665,4137931.432,26029671,37.3841716,-122.0311957
19,FALSE,584597.798,4138234.936,26029674,37.3870143,-122.0443537
20,FALSE,584529.3696,4138230.504,26029675,37.3869806,-122.0451271
21,FALSE,582997.8198,4138490.447,26029682,37.3894618,-122.0623967
22,FALSE,582548.6385,4138707.739,26029683,37.3914603,-122.0674461
23,FALSE,585263.959,4136264.273,26030097,37.3691925,-122.0370566
24,FALSE,585260.0939,4136247.301,26030108,37.3690399,-122.0371022
25,FALSE,589186.7851,4138642.323,26031433,37.3902556,-121.9924729
26,FALSE,585043.6792,4139850.971,26117823,37.4015381,-122.0391316
27,FALSE,585460.1697,4138000.476,26240871,37.3848221,-122.0346404
28,FALSE,594025.9867,4134571.301,26374407,37.3530879,-121.9383309
29,FALSE,592825.4633,4134513.051,26374416,37.3526838,-121.9518915
30,FALSE,594005.021,4134565.717,26374420,37.3530397,-121.9385683
31,FALSE,582408.3865,4138754.731,26374541,37.3918963,-122.0690251
32,FALSE,586842.0764,4134931.07,26409052,37.3570305,-122.0193926
33,FALSE,586053.2204,4132399.137,26497352,37.3342847,-122.0285931
34,FALSE,587327.5085,4131774.186,26497360,37.3285333,-122.0142839
35,FALSE,592869.4195,4136926.647,26506775,37.3744316,-121.9510925
36,FALSE,587747.5272,4137167.226,26506784,37.3770987,-122.0089047
37,FALSE,587407.9178,4137328.182,26506786,37.3785814,-122.012721
38,FALSE,590184.2316,4137275.579,26506793,37.3778414,-121.9813732
