from_node,to_node,distance,travel_time,highway,max_speed_mps,highway_group,peak_cv,offpeak_cv,hr_0,hr_1,hr_2,hr_3,hr_4,hr_5,hr_6,hr_7,hr_8,hr_9,hr_10,hr_11,hr_12,hr_13,hr_14,hr_15,hr_16,hr_17,hr_18,hr_19,hr_20,hr_21,hr_22,hr_23,from_lat,from_lon,from_h3_id,to_lat,to_lon,to_h3_id,mid_lat,mid_lon,mid_h3_id,same_origin_dest_hex
0,3057,811.8680089,43.5024842,motorway,28.84098113,group_1,0.5,0.01,28.14980549,28.14980549,28.14980549,28.14980549,28.14980549,28.14980549,28.14980549,58.37143666,58.37143666,61.29000849,40.5357199,58.37143666,61.29000849,58.37143666,61.29000849,61.29000849,61.29000849,67.41900934,58.37143666,28.14980549,28.14980549,28.14980549,28.14980549,28.14980549,37.348484,-122.059974,87283472bffffff,37.3411828,-122.059952,872834729ffffff,37.3448334,-122.059963,87283472bffffff,False
1,2596,302.3705313,24.34829475,motorway_link,19.67495814,group_1,0.5,0.01,15.3682935,15.3682935,15.3682935,15.3682935,15.3682935,15.3682935,15.3682935,31.8676934,33.46107807,33.46107807,31.8676934,33.46107807,33.46107807,33.46107807,33.46107807,33.46107807,33.46107807,35.05446274,33.46107807,15.3682935,15.3682935,15.3682935,15.3682935,15.3682935,37.3256491,-122.0507934,872834728ffffff,37.3229507,-122.0507156,872834728ffffff,37.3242999,-122.05075450000001,872834728ffffff,True
1,3336,752.9087789,38.32095258,motorway,28.84098113,group_1,0.5,0.01,26.10551893,26.10551893,26.10551893,26.10551893,26.10551893,26.10551893,26.10551893,26.10551893,56.83902425,26.10551893,56.83902425,56.83902425,56.83902425,45.11033671,56.83902425,54.13240405,54.13240405,62.52292668,54.13240405,26.10551893,26.10551893,26.10551893,26.10551893,26.10551893,37.3256491,-122.0507934,872834728ffffff,37.3191164,-122.0486499,872834728ffffff,37.32238275,-122.04972165000001,872834728ffffff,True
2,3463,121.237271,11.09136515,primary,16.87712414,group_2,0.6,0.25,7.183526649,7.183526649,7.183526649,7.183526649,7.183526649,7.183526649,7.183526649,12.41313405,14.89576086,14.89576086,15.6405489,14.89576086,14.89576086,14.89576086,14.89576086,14.89576086,15.6405489,16.38533695,15.6405489,7.183526649,7.183526649,7.183526649,7.183526649,7.183526649,37.3559053,-122.0177816,87283470cffffff,37.3566919,-122.0187314,87283470cffffff,37.3562986,-122.0182565,87283470cffffff,True
3,1348,14.36982408,1.314620204,primary,16.87712414,group_2,0.6,0.25,0.851437956,0.851437956,0.851437956,0.851437956,0.851437956,0.851437956,0.851437956,1.471284788,1.765541745,1.765541745,1.853818833,1.765541745,1.765541745,1.765541745,1.765541745,1.765541745,1.853818833,1.94209592,1.853818833,0.851437956,0.851437956,0.851437956,0.851437956,0.851437956,37.3531698,-122.0140781,872834701ffffff,37.3532395,-122.014215,872834701ffffff,37.35320465,-122.01414654999999,872834701ffffff,True
4,2573,59.00546859,3.011260606,motorway,28.84098113,group_1,0.5,0.01,2.045889782,2.045889782,2.045889782,2.045889782,2.045889782,2.045889782,2.045889782,2.045889782,3.535297543,4.454474904,2.946081286,4.242357051,4.454474904,3.535297543,4.454474904,4.454474904,4.454474904,4.899922394,4.242357051,2.045889782,2.045889782,2.045889782,2.045889782,2.045889782,37.3878941,-122.068844,872834772ffffff,37.3873641,-122.068811,872834772ffffff,37.3876291,-122.0688275,872834772ffffff,True
5,4,842.8680448,40.42940314,motorway,28.84098113,group_1,0.5,0.01,29.22466614,29.22466614,29.22466614,29.22466614,29.22466614,29.22466614,29.22466614,29.22466614,29.22466614,63.6302811,42.08351925,60.60026771,60.60026771,29.22466614,50.5002231,63.6302811,63.6302811,66.66029449,60.60026771,29.22466614,29.22466614,29.22466614,29.22466614,29.22466614,37.3954537,-122.0686987,872834709ffffff,37.3878941,-122.068844,872834772ffffff,37.3916739,-122.06877134999999,872834772ffffff,False
6,2520,902.8083695,35.77428633,motorway,28.84098113,group_1,0.5,0.01,31.30297008,31.30297008,31.30297008,31.30297008,31.30297008,31.30297008,31.30297008,31.30297008,68.1553307,31.30297008,31.30297008,31.30297008,31.30297008,68.1553307,64.90983876,31.30297008,31.30297008,31.30297008,31.30297008,31.30297008,31.30297008,31.30297008,31.30297008,31.30297008,37.3962104,-122.0148121,87283470affffff,37.3983583,-122.0246679,872834708ffffff,37.39728435,-122.01974,872834708ffffff,False
7,2527,612.3060364,23.2215463,motorway,28.84098113,group_1,0.5,0.01,21.23041632,21.23041632,21.23041632,21.23041632,21.23041632,21.23041632,21.23041632,21.23041632,46.22456084,21.23041632,21.23041632,21.23041632,21.23041632,21.23041632,44.02339128,21.23041632,21.23041632,21.23041632,21.23041632,21.23041632,21.23041632,21.23041632,21.23041632,21.23041632,37.4055796,-122.0565203,872834709ffffff,37.4070483,-122.0632014,872834754ffffff,37.40631395,-122.05986085,872834709ffffff,False
8,2667,609.2651384,30.52635437,trunk,21.02392057,group_2,0.6,0.25,28.97961568,28.97961568,28.97961568,28.97961568,28.97961568,28.97961568,28.97961568,28.97961568,28.97961568,28.97961568,28.97961568,28.97961568,28.97961568,28.97961568,28.97961568,28.97961568,28.97961568,66.10134419,28.97961568,28.97961568,28.97961568,28.97961568,28.97961568,28.97961568,37.3820969,-122.0221489,872834708ffffff,37.3792616,-122.0163161,87283470effffff,37.38067925,-122.0192325,872834708ffffff,False
