from_node,to_node,distance,travel_time,highway,highway_group
0,3057,811.8680089,59.847790245,motorway,group_1
1,2596,302.3705313,32.92529082,motorway_link,group_1
1,3336,752.9087789,49.936615125,motorway,group_1
2,3463,121.237271,14.900116345499999,primary,group_2
3,1348,14.36982408,1.7660579849999998,primary,group_2
4,2573,59.00546859,4.064610147,motorway,group_1
5,4,842.8680448,53.66534673,motorway,group_1
6,2520,902.8083695,55.42642275,motorway,group_1
7,2527,612.3060364,35.618291805,motorway,group_1
8,2667,609.2651384,43.46942352,trunk,group_2
9,3375,207.1395888,15.05108169,trunk_link,group_2
10,3123,287.8996015,30.44038947,primary,group_2
11,1450,195.2615128,26.360555084999998,primary_link,group_2
12,2539,94.09401367,8.68328922,primary,group_2
13,10,17.73932739,1.8756261960000002,primary,group_2
13,43,140.1966346,12.937782955500001,primary,group_2
14,3782,134.3022256,15.961602615,primary,group_2
15,3,22.2425064,3.0176120595,secondary,group_3
15,16,176.2514067,18.20628027,primary,group_2
16,2844,168.7794976,19.648119015,primary,group_2
17,4019,222.5444849,16.468283985,motorway,group_1
18,2836,214.1808374,16.228081635000002,trunk,group_2
19,20,68.56170713,5.194792374,trunk,group_2
20,3895,267.0805951,20.23619739,trunk,group_2
21,4063,86.9021125,6.584410602,trunk,group_2
22,2650,83.56143499,6.331293712499999,trunk,group_2
23,24,17.44030793,1.5500544809999999,primary,group_2
23,2571,352.8930319,31.364321519999997,primary,group_2
24,13,17.1956148,1.790338926,primary,group_2
24,3840,511.7234601,45.480804885,primary,group_2
25,2525,389.9413971,23.93980545,motorway,group_1
26,2651,722.559967,42.031843905,motorway,group_1
27,58,140.628584,10.0334699865,trunk,group_2
28,30,21.65750617,2.519825658,secondary,group_3
28,3049,206.1928693,18.32594826,primary,group_2
29,2793,114.7885917,14.330256696,primary,group_2
30,492,153.7231007,16.576620809999998,primary,group_2
30,1679,121.5339027,14.140328245500001,secondary,group_3
31,4061,551.4479183,39.34432089,trunk,group_2
32,14,188.8053654,22.439212755,primary,group_2
33,2578,1059.073725,78.97256241,motorway,group_1
34,3388,87.57969207,12.0224881635,secondary,group_3
34,3390,191.3883146,18.048439005,motorway_link,group_1
35,3798,702.9274663,52.985828595,trunk,group_2
36,3642,138.7330118,11.070842813999999,trunk,group_2
37,964,20.94585036,1.611217806,trunk_link,group_2
38,355,74.4122279,5.6091044115,trunk,group_2
39,71,471.6481435,51.35802165,motorway_link,group_1
39,3931,655.7895104,48.71451791999999,motorway,group_1
40,2565,17.23540524,2.466919881,secondary,group_3
40,3303,173.5536589,20.626572075,primary,group_2
41,40,94.14958868,13.4757198285,secondary,group_3
41,106,205.9274822,28.746407745,secondary,group_3
42,3037,78.84028071,5.9428857165,trunk,group_2
43,3785,133.4349246,12.313791255,primary,group_2
44,2574,180.9414023,16.697837265,primary,group_2
45,3329,354.0884558,38.26226472,motorway_link,group_1
46,2738,650.9610806,35.153268465,motorway,group_1
47,3385,305.2274014,24.16186311,motorway_link,group_1
48,2672,20.39201609,3.5725061054999996,residential,group_4
48,1343,73.75740727,12.023278888499998,residential,group_4
48,2734,252.1825724,35.203378275000006,secondary,group_3
49,3116,32.50099913,4.5369707969999995,secondary,group_3
49,3134,12.0810238,1.283677881,motorway_link,group_1
50,49,68.3035197,9.3763546965,secondary,group_3
51,2608,15.61305679,1.140328287,trunk_link,group_2
51,3251,54.9156453,3.9180831030000003,trunk,group_2
52,3261,25.83894377,2.1761676675,trunk,group_2
53,3262,417.0864173,35.127208905,trunk,group_2
54,2602,80.36115879,7.8025553025,trunk,group_2
55,2591,9.775329937,0.88560924,trunk,group_2
56,71,569.7350869,38.79722781,motorway,group_1
56,130,188.598512,18.833202675,motorway_link,group_1
57,8,614.568568,43.847808915,trunk,group_2
58,2568,192.8435579,13.7588674695,trunk,group_2
59,3902,762.1981511,42.09767775,motorway,group_1
60,3101,444.9842759,24.577342019999996,motorway,group_1
61,62,241.1888427,24.671955510000004,trunk,group_2
62,3223,104.6643268,10.706438925,trunk,group_2
63,2700,102.4418121,13.0041742695,primary,group_2
64,418,13.3681861,1.9694085344999999,unclassified,group_4
64,2694,41.55008843,5.1199592655,primary,group_2
65,2629,111.2175321,14.1721217775,primary,group_2
