from_node,to_node,distance,travel_time
0,3057,811.8680089,110691983.37358063
1,2596,302.3705313,60431923.37878424
1,3336,752.9087789,99394507.71833025
2,3463,121.237271,27350657.03630796
3,1348,14.36982408,3241776.4498374257
4,2573,59.00546859,8044943.607191864
5,4,842.8680448,107014146.75640044
6,2520,902.8083695,76766044.08195722
7,2527,612.3060364,52064550.763340935
8,2667,609.2651384,52338239.40394098
9,3375,207.1395888,23291014.40875744
10,3123,287.8996015,60335165.307328224
11,1450,195.2615128,36633407.31031057
12,2539,94.09401367,12512517.153449032
13,10,17.73932739,3717633.66338965
13,43,140.1966346,18643192.35067279
14,3782,134.3022256,29139117.804368053
15,3,22.2425064,5539129.400986235
15,16,176.2514067,30839205.600007482
16,2844,168.7794976,39324391.92272206
17,4019,222.5444849,29860612.843862012
18,2836,214.1808374,18398964.975342106
19,20,68.56170713,5889716.669455788
20,3895,267.0805951,22943259.418712754
21,4063,86.9021125,7465228.653414998
22,2650,83.56143499,7178251.493413363
23,24,17.44030793,1866303.1600720873
23,2571,352.8930319,37763403.2170947
24,13,17.1956148,3391706.0981555264
24,3840,511.7234601,54759991.30687596
25,2525,389.9413971,33156824.295846608
26,2651,722.559967,61439472.81649263
27,58,140.628584,12080541.023630923
28,30,21.65750617,5570278.995003442
28,3049,206.1928693,22064885.83908185
29,2793,114.7885917,26320382.34625332
30,492,153.7231007,22905485.98826207
30,1679,121.5339027,31258342.482770275
31,4061,551.4479183,47371515.86640566
32,14,188.8053654,40964487.08479042
33,2578,1059.073725,144396588.91331974
34,3388,87.57969207,22525369.04712365
34,3390,191.3883146,37036646.592967324
35,3798,702.9274663,81993688.0248949
36,3642,138.7330118,16182653.026179288
37,964,20.94585036,2355175.586528743
38,355,74.4122279,8679889.87777828
39,71,471.6481435,94263830.37369949
39,3931,655.7895104,89411875.8080399
40,2565,17.23540524,4292193.432591083
40,3303,173.5536589,37655373.85108084
41,40,94.14958868,23446402.367228676
41,106,205.9274822,52123545.68227472
42,3037,78.84028071,9196404.593910698
43,3785,133.4349246,17744027.682707824
44,2574,180.9414023,24061386.183236722
45,3329,354.0884558,70768293.258002
46,2738,650.9610806,40763501.431244045
47,3385,305.2274014,28017939.289140638
48,2672,20.39201609,7150131.272101124
48,1343,73.75740727,25451338.79705958
48,2734,252.1825724,64860989.76125956
49,3116,32.50099913,8359209.565406926
49,3134,12.0810238,2337867.9605514184
50,49,68.3035197,17567565.630806398
51,2608,15.61305679,1800231.8391301776
51,3251,54.9156453,4717467.010195904
52,3261,25.83894377,3014009.8316215565
53,3262,417.0864173,48651468.628453724
54,2602,80.36115879,14791914.722374387
55,2591,9.775329937,1673565.7809283389
56,71,569.7350869,77679014.41801527
56,130,188.598512,37693391.54228028
57,8,614.568568,52793824.5879891
58,2568,192.8435579,16566009.878272345
59,3902,762.1981511,47729221.22044861
60,3101,444.9842759,27865133.119239047
61,62,241.1888427,45111189.35859908
62,3223,104.6643268,19576080.7706528
63,2700,102.4418121,23868195.037020274
64,418,13.3681861,2952025.1841733768
64,2694,41.55008843,9680867.552893592
65,2629,111.2175321,25912873.7888285
65,2767,123.5821534,21573842.021384995
66,65,28.99237736,5144194.954866212
66,3656,223.5096241,52076112.20986831
67,3226,128.0736806,23090978.706604388
68,2666,100.980186,8674589.790248375
69,3559,78.74000955,9301429.120717196
69,2606,169.9812521,35839156.24281027
69,1471,54.06578246,10255480.4155227
70,2621,575.5622494,75982281.05113636
71,3272,529.1314036,72143013.26050313
72,2828,59.82230477,5138968.096723504
73,3233,83.8566713,7203613.437809565
74,3377,28.2407436,3175421.8007419417
75,797,72.96281787,8510821.973091466
76,3915,211.4044589,43709838.2703735
77,3588,210.8887098,24911939.911295418
78,60,154.9585276,9703578.83229263
79,3333,692.0183857,43334529.969025806
80,44,113.762371,15127993.411523454
81,2653,105.2974908,27082361.02381354
81,3389,390.7939572,78104272.85481133
82,183,103.9923635,25897583.10508019
82,3390,377.2365942,75394691.61263612
83,3469,78.52832295,9276422.928339891
