request_id,rq_type,number_passenger,rq_time,earliest_pickup_time,start,end,pickup_location,dropoff_location,access_time,egress_time,direct_route_travel_time,direct_route_distance,offers,rider_declined,decision_time,chosen_operator_id,operator_id,vehicle_id,vehicle_id_cancelled_rq,pickup_time,dropoff_time,fare,modal_state,initial_expected_wait_time,last_wait_time,diffusion_cancelled,diffusion_decision_time,max_diff_dec_time_reached,last_diffusion_state_value,no_show_stat,diffusion_state_values
0,BasicRequest_no_show,1,25260,25260,1169;-1;-1,3613;-1;-1,,,,,379.730806386,3488.96795059,0:t_wait:250.65292100250008;t_drive:679.730806386;fare:348,False,,0,0,7,,25629.34473668752,26246.91059962025,348,0,,250.65292100250008,False,25269.64999999986,False,80.0029883075807,False,[]
2,BasicRequest_no_show,1,25500,25500,1887;-1;-1,1587;-1;-1,,,,,839.356796716286,6818.626770446999,0:t_wait:53.864055493108026;t_drive:1139.3567967162853;fare:681,False,,0,0,9,,25553.864055493104,26447.776339247648,681,0,,53.864055493108026,False,25505.299999999923,False,80.07511815556963,False,[]
1,BasicRequest_no_show,1,25260,25260,3964;-1;-1,442;-1;-1,,,,,688.9644988845,4660.77485407,0:t_wait:312.57358521900096;t_drive:988.9644988844993;fare:466,False,,0,0,11,,25611.30757672701,26569.21770215905,466,0,,312.57358521900096,False,25265.39999999992,False,82.43833010121621,False,[]
3,BasicRequest_no_show,1,25920,25920,1323;-1;-1,1587;-1;-1,,,,,869.6315712622011,11283.945719009998,0:t_wait:73.09489247823149;t_drive:1169.6315712622018;fare:1128,False,,0,0,10,,25993.09489247823,27118.76608091059,1128,0,,73.09489247823149,False,25924.69999999993,False,82.11906597622637,False,[]
11,BasicRequest_no_show,1,27900,27900,1125;-1;-1,2064;-1;-1,,,,,696.5912063341832,4749.8333476,0:t_wait:939.9617491497011;t_drive:996.5912063341821;fare:474,True,,,,,,,,,0,,,False,,False,,False,[]
4,BasicRequest_no_show,1,26400,26400,1176;-1;-1,3562;-1;-1,,,,,871.1458238729645,8132.979935830001,0:t_wait:292.9765262482797;t_drive:1171.1458238729647;fare:813,False,,0,0,7,,26719.487975973465,28122.7849979139,813,0,,292.9765262482797,False,26406.8999999999,False,81.66799034117054,False,[]
14,BasicRequest_no_show,1,28320,28320,852;-1;-1,1140;-1;-1,,,,,1723.854730207384,14902.532057236,0:t_wait:1461.959121769367;t_drive:2023.8547302073857;fare:1490,True,,,,,,,,,0,,,False,,False,,False,[]
6,BasicRequest_no_show,1,27180,27180,418;-1;-1,1587;-1;-1,,,,,954.7265833008358,9461.304579696998,0:t_wait:190.94566975655107;t_drive:1254.726583300835;fare:946,False,,0,0,6,,27370.945669756555,28399.25058997786,946,0,,190.94566975655107,False,27186.049999999912,False,80.65653281928081,False,[]
15,BasicRequest_no_show,1,28500,28500,332;-1;-1,2094;-1;-1,,,,,904.4808678668553,8807.63753603,0:t_wait:862.7319128131094;t_drive:1204.480867866856;fare:880,True,,,,,,,,,0,,,False,,False,,False,[]
7,BasicRequest_no_show,1,27240,27240,1889;-1;-1,2617;-1;-1,,,,,1016.3624002128051,10699.45155454,0:t_wait:31.80805149276057;t_drive:1316.3624002128054;fare:1069,False,,0,0,8,,27271.808051492757,28753.637376347742,1069,0,,31.80805149276057,False,27246.549999999905,False,82.97441593347726,False,[]
17,BasicRequest_no_show,1,28860,28860,1005;-1;-1,385;-1;-1,,,,,1044.535361324898,8810.830010424,0:t_wait:1251.4117049380766;t_drive:1344.535361324899;fare:881,True,,,,,,,,,0,,,False,,False,,False,[]
18,BasicRequest_no_show,1,29100,29100,1807;-1;-1,3665;-1;-1,,,,,704.6716837497847,5337.95326421,0:t_wait:936.9318574368372;t_drive:1004.6716837497843;fare:533,True,,,,,,,,,0,,,False,,False,,False,[]
19,BasicRequest_no_show,1,29160,29160,3661;-1;-1,428;-1;-1,,,,,556.78893697077,3191.634873985,0:t_wait:1211.4633040096269;t_drive:856.78893697077;fare:319,False,29190,0,,,,,,319,0,,1211.4633040096269,True,29190,True,-21.854731570444834,False,[]
9,BasicRequest_no_show,1,27660,27660,325;-1;-1,3988;-1;-1,,,,,350.43030286867327,4942.31247601,0:t_wait:731.3712261947294;t_drive:650.4303028686736;fare:494,False,,0,0,5,,28694.49120973785,29254.401125741366,494,0,,731.3712261947294,False,27671.849999999828,False,80.65509373067925,False,[]
5,BasicRequest_no_show,1,27060,27060,3723;-1;-1,2508;-1;-1,,,,,1036.8326241450304,11244.37278958,0:t_wait:612.8563683205502;t_drive:1336.8326241450304;fare:1124,False,,0,0,4,,28058.304569403892,29478.851256404676,1124,0,,612.8563683205502,False,27064.599999999933,False,80.93234756412139,False,[]
12,BasicRequest_no_show,1,28260,28260,495;-1;-1,3562;-1;-1,,,,,591.0671987199584,4914.440536342,0:t_wait:505.83006883591224;t_drive:891.0671987199567;fare:491,False,,0,0,7,,29080.5031890087,29871.115836601184,491,0,,505.83006883591224,False,28264.449999999935,False,80.99270946079922,False,[]
10,BasicRequest_no_show,1,27780,27780,366;-1;-1,1047;-1;-1,,,,,825.9688415436974,6049.284438764999,0:t_wait:790.6756675427096;t_drive:1125.9688415436976;fare:604,False,,0,0,11,,28793.464456661215,29881.276153908206,604,0,,790.6756675427096,False,27789.299999999865,False,81.60598515717773,False,[]
8,BasicRequest_no_show,1,27420,27420,3151;-1;-1,422;-1;-1,,,,,1246.6341333637336,11001.057532882998,0:t_wait:982.0707459978003;t_drive:1546.634133363732;fare:1100,False,,0,0,9,,28438.12197428852,29962.215052565134,1100,0,,982.0707459978003,False,27450,True,36.788750166807226,False,[]
