request_id,rq_type,number_passenger,rq_time,earliest_pickup_time,start,end,pickup_location,dropoff_location,access_time,egress_time,direct_route_travel_time,direct_route_distance,offers,decision_time,chosen_operator_id,operator_id,vehicle_id,pickup_time,dropoff_time,fare,modal_state,wait_time_at_cancellation,diffusion_cancelled,diffusion_decision_time,no_show_stat,diffusion_state_values
823,BasicRequest_no_show,1,25370,25370,1786;-1;-1,3475;-1;-1,,,,,339.7959166,3312.926919,0:00,,,,,,,,0,,FALSE,,FALSE,[]
820,BasicRequest_no_show,1,25300,25300,1518;-1;-1,184;-1;-1,,,,,124.0000863,1249.649375,0:t_wait:140.98555921300067;t_drive:190.29427451399897;fare:124,,0,0,7,25440.98556,25631.27983,124,0,140.9855592,FALSE,25304.1,FALSE,[]
616,BasicRequest_no_show,1,26180,26180,1047;-1;-1,3417;-1;-1,,,,,451.4091789,3934.259925,0:00,,,,,,,,0,,FALSE,,FALSE,[]
136,BasicRequest_no_show,1,25910,25910,3477;-1;-1,744;-1;-1,,,,,281.8482422,2759.654555,0:t_wait:24.666488484999718;t_drive:364.5719501150015;fare:275,,0,0,7,25934.66649,26299.23844,275,0,24.66648848,FALSE,25913.95,FALSE,[]
676,BasicRequest_no_show,1,25860,25860,3196;-1;-1,1305;-1;-1,,,,,222.6491082,2166.673697,0:t_wait:321.54328443499617;t_drive:259.75874502400256;fare:216,,0,0,3,26181.54328,26441.30203,216,0,321.5432844,FALSE,25863.65,FALSE,[]
728,BasicRequest_no_show,1,25600,25600,1965;-1;-1,1587;-1;-1,,,,,671.3820269,7484.450262,0:t_wait:301.3594174790014;t_drive:937.2953723610008;fare:748,,0,0,4,25901.35942,26838.65479,748,0,301.3594175,FALSE,25601.65,FALSE,[]
504,BasicRequest_no_show,1,25780,25780,3970;-1;-1,3816;-1;-1,,,,,589.1046913,7782.754767,0:t_wait:517.2644571730016;t_drive:626.2143281600002;fare:778,,0,0,8,26297.26446,26923.47879,778,0,517.2644572,FALSE,25785.85,FALSE,[]
891,BasicRequest_no_show,1,26940,26940,482;-1;-1,2313;-1;-1,,,,,706.5687317,8903.418661,0:00,,,,,,,,0,,FALSE,,FALSE,[]
352,BasicRequest_no_show,1,26970,26970,3672;-1;-1,1281;-1;-1,,,,,126.3823651,1277.5261,0:00,,,,,,,,0,,FALSE,,FALSE,[]
845,BasicRequest_no_show,1,25900,25900,236;-1;-1,2030;-1;-1,,,,,446.7014531,4287.636053,0:t_wait:592.6052672939986;t_drive:494.7325649370032;fare:428,,0,0,6,26492.60527,26987.33783,428,0,592.6052673,FALSE,25907.3,FALSE,[]
854,BasicRequest_no_show,1,25620,25620,3475;-1;-1,1786;-1;-1,,,,,332.5292942,3312.926919,0:t_wait:300.39557809500184;t_drive:363.2202064990015;fare:331,,0,0,7,26596.16168,26980.65523,331,0,300.3955781,FALSE,25623.7,FALSE,[]
288,BasicRequest_no_show,1,26500,26500,3475;-1;-1,1786;-1;-1,,,,,332.5292942,3312.926919,0:t_wait:96.16167613400467;t_drive:384.49355826900137;fare:331,,0,0,7,26596.16168,26980.65523,331,0,96.16167613,FALSE,26502.55,FALSE,[]
764,BasicRequest_no_show,1,26920,26920,1047;-1;-1,3417;-1;-1,,,,,451.4091789,3934.259925,0:t_wait:1011.4481208239849;t_drive:544.0457507270003;fare:393,26990,0,,,,,393,0,1011.448121,TRUE,26990.35,FALSE,[]
