request_id,rq_type,number_passenger,rq_time,earliest_pickup_time,start,end,pickup_location,dropoff_location,access_time,egress_time,direct_route_travel_time,direct_route_distance,offers,decision_time,chosen_operator_id,operator_id,vehicle_id,pickup_time,dropoff_time,fare,modal_state,wait_time_at_cancellation,diffusion_cancelled,diffusion_decision_time,no_show_stat,diffusion_state_values
823,BasicRequest_no_show,1,25370,25370,1786;-1;-1,3475;-1;-1,,,,,461.21544940677325,3312.92691874,0:,,,,,,,,0,,False,,False,[]
820,BasicRequest_no_show,1,25300,25300,1518;-1;-1,184;-1;-1,,,,,167.82108377632525,1249.6493746400001,0:t_wait:187.35751581745717;t_drive:234.11527198632393;fare:124,,0,0,7,25487.357515817454,25721.472787803774,124,0,187.35751581745717,False,25304.09999999994,False,[]
136,BasicRequest_no_show,1,25910,25910,3477;-1;-1,744;-1;-1,,,,,385.0578172163828,2763.53669001,0:t_wait:1099.8076347932401;t_drive:467.7815251763859;fare:276,25910,0,,,,,276,0,1099.8076347932401,True,25914.349999999937,False,[]
616,BasicRequest_no_show,1,26180,26180,1047;-1;-1,3417;-1;-1,,,,,591.3366305095019,3964.29789406,0:,,,,,,,,0,,False,,False,[]
676,BasicRequest_no_show,1,25860,25860,3196;-1;-1,1305;-1;-1,,,,,277.2460596505081,2392.2721484599997,0:t_wait:113.74574260502777;t_drive:314.35569647050943;fare:239,,0,0,7,25979.086971714158,26293.442668184667,239,0,113.74574260502777,False,25863.649999999947,False,[]
476,BasicRequest_no_show,1,26320,26320,439;-1;-1,2301;-1;-1,,,,,534.0259898805109,3780.5574250199998,0:t_wait:1052.1944817782824;t_drive:553.8335817005136;fare:378,26340,0,,,,,378,0,1052.1944817782824,True,26343.849999999653,False,[]
905,BasicRequest_no_show,1,26810,26810,3805;-1;-1,1517;-1;-1,,,,,288.94256747219094,2224.818694083,0:t_wait:1188.6636308987327;t_drive:371.66627543219147;fare:222,26810,0,,,,,222,0,1188.6636308987327,True,26813.99999999994,False,[]
890,BasicRequest_no_show,1,25770,25770,3421;-1;-1,1235;-1;-1,,,,,541.6902065032623,4071.79062713,0:t_wait:520.2706407915139;t_drive:635.470543653264;fare:407,,0.0,0.0,3.0,26290.270640791514,26936.284700846034,407.0,0,520.2706407915139,False,25774.249999999938,False,[]
2,BasicRequest_no_show,1,26940,26940,578;-1;-1,2122;-1;-1,,,,,326.8520838581411,2273.12486953,0:,,,,,,,,0,,False,,False,[]
891,BasicRequest_no_show,1,26940,26940,482;-1;-1,2313;-1;-1,,,,,928.593058525106,8903.418660705,0:,,,,,,,,0,,False,,False,[]
220,BasicRequest_no_show,1,26950,26950,4068;-1;-1,1734;-1;-1,,,,,467.1061573833814,4283.82008913,0:t_wait:1184.5515838508763;t_drive:532.5393575333837;fare:428,26950,0,,,,,428,0,1184.5515838508763,True,26953.299999999952,False,[]
352,BasicRequest_no_show,1,26970,26970,3672;-1;-1,1281;-1;-1,,,,,172.54367072881132,1277.52610014,0:,,,,,,,,0,,False,,False,[]
321,BasicRequest_no_show,1,26890,26890,553;-1;-1,256;-1;-1,,,,,425.0496184877826,2918.226402354,0:t_wait:983.9888026542576;t_drive:432.70997696678023;fare:291,27060,0,,,,,291,0,983.9888026542576,True,27068.999999997395,False,[]
