request_id,rq_type,number_passenger,rq_time,earliest_pickup_time,start,end,pickup_location,dropoff_location,access_time,egress_time,direct_route_travel_time,direct_route_distance,offers,rider_declined,decision_time,chosen_operator_id,operator_id,vehicle_id,vehicle_id_cancelled_rq,pickup_time,dropoff_time,fare,modal_state,initial_expected_wait_time,last_wait_time,diffusion_cancelled,diffusion_decision_time,max_diff_dec_time_reached,last_diffusion_state_value,no_show_stat,diffusion_state_values,second_vehicle_assigned,assigned_vids,looser_vid
3,BasicRequest_no_show,1,25920,25920,1323;-1;-1,1587;-1;-1,,,,,801.3322313211775,11585.68292489,0:t_wait:1320.667337957042;t_drive:1101.3322313211756;fare:1158,True,,,,,,,,,0,,,False,,False,,False,[],False,,
1,BasicRequest_no_show,1,25260,25260,3964;-1;-1,442;-1;-1,,,,,688.9644988845,4660.77485407,0:t_wait:393.5262968895004;t_drive:988.9644988844993;fare:466,False,,0,0,11,,25727.14636732605,26555.159999336236,466,0,,393.5262968895004,False,25264.84999999993,False,81.88087536251753,False,[],False,,
0,BasicRequest_no_show,1,25260,25260,1169;-1;-1,3613;-1;-1,,,,,379.730806386,3488.96795059,0:t_wait:807.8355676680003;t_drive:679.730806386;fare:348,False,,0,0,8,,26408.414539364796,26951.07780611247,348,0,,807.8355676680003,False,25271.64999999983,False,80.33957233510705,False,[],False,,
6,BasicRequest_no_show,1,27180,27180,418;-1;-1,1587;-1;-1,,,,,1046.7809773962995,10162.068788839999,0:t_wait:1013.6660347541474;t_drive:1346.780977396298;fare:1016,True,,,,,,,,,0,,,False,,False,,False,[],False,,
8,BasicRequest_no_show,1,27420,27420,3151;-1;-1,422;-1;-1,,,,,1325.475189751559,11565.839345276003,0:t_wait:1313.8153094314403;t_drive:1625.4751897515598;fare:1156,False,27450,0,,,,,,1156,0,,1313.8153094314403,True,27450,True,-68.37955842086548,False,[],False,,
2,BasicRequest_no_show,1,25500,25500,1887;-1;-1,1587;-1;-1,,,,,901.0583329111971,7537.297451667,0:t_wait:647.2672285146982;t_drive:1201.0583329111978;fare:753,False,,0,0,10,,26283.84350456573,27450.606591878437,753,0,,647.2672285146982,False,25506.649999999903,False,80.94597353080452,False,[],False,,
11,BasicRequest_no_show,1,27900,27900,1125;-1;-1,2064;-1;-1,,,,,798.8274516560011,4757.299068,0:,False,,,,,,,,,0,,,False,,False,,False,[],False,,
12,BasicRequest_no_show,1,28260,28260,495;-1;-1,3562;-1;-1,,,,,502.54290410632336,3838.575461061,0:t_wait:1372.7302227453038;t_drive:802.5429041063217;fare:383,True,,,,,,,,,0,,,False,,False,,False,[],False,,
13,BasicRequest_no_show,1,28320,28320,2355;-1;-1,1520;-1;-1,,,,,773.8088360242535,6785.425215202,0:t_wait:1281.3540600727392;t_drive:1073.8088360242546;fare:678,True,,,,,,,,,0,,,False,,False,,False,[],False,,
15,BasicRequest_no_show,1,28500,28500,332;-1;-1,2094;-1;-1,,,,,948.7073543016243,9333.444294850002,0:t_wait:1257.7230402560162;t_drive:1248.7073543016231;fare:933,True,,,,,,,,,0,,,False,,False,,False,[],False,,
