request_id,rq_type,number_passenger,rq_time,earliest_pickup_time,start,end,pickup_location,dropoff_location,access_time,egress_time,direct_route_travel_time,direct_route_distance,offers,rider_declined,decision_time,chosen_operator_id,operator_id,vehicle_id,vehicle_id_cancelled_rq,pickup_time,dropoff_time,fare,modal_state,initial_expected_wait_time,last_wait_time,diffusion_cancelled,diffusion_decision_time,max_diff_dec_time_reached,last_diffusion_state_value,no_show_stat,diffusion_state_values,offered_wait_time
820,BasicRequest_no_show,1,25300,25300,1518;-1;-1,184;-1;-1,,,,,150.72497284707572,1295.83130304,0:t_wait:44.950843106300454;t_drive:180.72497284707424;fare:129,False,,0.0,0.0,2.0,,25377.032140689746,25545.732474074965,129.0,0,,,False,,False,,False,[],44.950843106300454
823,BasicRequest_no_show,1,25370,25370,1786;-1;-1,3475;-1;-1,,,,,401.647364450216,3608.10029403,0:t_wait:318.22289768030896;t_drive:431.6473644502148;fare:360,False,,0.0,0.0,7.0,,25688.22289768031,26150.385556247336,360.0,0,,,False,,False,,False,[],318.22289768030896
854,BasicRequest_no_show,1,25620,25620,3475;-1;-1,1786;-1;-1,,,,,412.1664403864478,3330.81899549,0:t_wait:253.75094092238578;t_drive:442.1664403864488;fare:333,False,,0.0,0.0,1.0,,25873.750940922386,26258.089131501536,333.0,0,,,False,,False,,False,[],253.75094092238578
890,BasicRequest_no_show,1,25770,25770,3421;-1;-1,1235;-1;-1,,,,,435.1081667870532,4846.42301387,0:t_wait:149.39777859187234;t_drive:465.10816678705305;fare:484,False,,0.0,0.0,2.0,,25919.39777859187,26388.072623022843,484.0,0,,,False,,False,,False,[],149.39777859187234
845,BasicRequest_no_show,1,25900,25900,236;-1;-1,2030;-1;-1,,,,,544.4963271095119,5687.561218129999,0:t_wait:415.17683934330125;t_drive:574.4963271095112;fare:568,False,26470.0,0.0,,,,,,568.0,0,,,False,,False,,True,[],415.17683934330125
728,BasicRequest_no_show,1,25600,25600,1965;-1;-1,1587;-1;-1,,,,,828.2987947125105,7721.940602667,0:t_wait:155.79996407805083;t_drive:858.2987947125112;fare:772,False,,0.0,0.0,5.0,,25755.799964078044,26602.834087349314,772.0,0,,,False,,False,,False,[],155.79996407805083
136,BasicRequest_no_show,1,25910,25910,3477;-1;-1,744;-1;-1,,,,,351.29222137004695,2960.2559014,0:t_wait:352.4721215563841;t_drive:381.2922213700476;fare:296,False,,0.0,0.0,0.0,,26280.019323049717,26643.996480667567,296.0,0,,,False,,False,,False,[],352.4721215563841
676,BasicRequest_no_show,1,25860,25860,3196;-1;-1,1305;-1;-1,,,,,271.31191757259523,2196.25044943,0:t_wait:493.62085725597717;t_drive:301.3119175725951;fare:219,False,,0.0,0.0,7.0,,26374.462555692167,26643.91164987083,219.0,0,,,False,,False,,False,[],493.62085725597717
504,BasicRequest_no_show,1,25780,25780,3970;-1;-1,3816;-1;-1,,,,,668.0903026497582,7888.923596497001,0:t_wait:97.23600745896329;t_drive:698.0903026497581;fare:788,False,,0.0,0.0,8.0,,25877.23600745896,26686.16211187056,788.0,0,,,False,,False,,False,[],97.23600745896329
891,BasicRequest_no_show,1,26940,26940,482;-1;-1,2313;-1;-1,,,,,898.2027110572478,8922.830450475001,0:t_wait:2137.095370510575;t_drive:928.202711057249;fare:892,True,,,,,,,,,0,,,False,,False,,False,[],2137.095370510575
