request_id,rq_type,number_passenger,rq_time,earliest_pickup_time,start,end,pickup_location,dropoff_location,access_time,egress_time,direct_route_travel_time,direct_route_distance,offers,decision_time,chosen_operator_id,operator_id,vehicle_id,pickup_time,dropoff_time,fare,modal_state,cancellation_type,expected_wait_time,cancel_later_timestamp,no_show_stat
6,BasicRequest_no_show,1,21790,21790,2141;-1;-1,40972;-1;-1,,,,,349.5218216438,4347.71,0:t_wait:333.19307413729985;t_drive:379.52182164380065;fare:434,21790,0,,,,,434,0,Cancelled Later,5.55321790228833,21794.689258542974,False
10,BasicRequest_no_show,1,22480,22480,2388;-1;-1,3159;-1;-1,,,,,106.2943800126,1263.0529999999999,0:t_wait:38.85021184719881;t_drive:136.29438001260132;fare:126,,0,0,13,22536.884841516014,22728.60743407257,126,0,,,,False
7,BasicRequest_no_show,1,22030,22030,21405;-1;-1,28938;-1;-1,,,,,354.34788010569997,4931.782999999999,0:t_wait:352.2858819635985;t_drive:384.347880105699;fare:493,,0,0,2,22574.611449147378,23168.500518826408,493,0,,,,False
9,BasicRequest_no_show,1,22390,22390,3206;-1;-1,7809;-1;-1,,,,,194.6822155187,1942.764,0:t_wait:373.0067373435013;t_drive:224.6822155187001;fare:194,,0,0,23,23007.877082693278,23362.316875337987,194,0,,,,False
8,BasicRequest_no_show,1,22080,22080,33690;-1;-1,39373;-1;-1,,,,,352.47959470620003,4493.9,0:t_wait:700.5425116065999;t_drive:382.47959470620117;fare:449,,0,0,17,23137.331756135303,23707.218756754646,449,0,,,,False
12,BasicRequest_no_show,1,23370,23370,1643;-1;-1,7741;-1;-1,,,,,223.81290092700002,2492.435,0:t_wait:186.67565207479856;t_drive:253.81290092700146;fare:249,,0,0,13,23656.121482914987,24009.1367492507,249,0,,,,False
11,BasicRequest_no_show,1,22640,22640,29852;-1;-1,28497;-1;-1,,,,,514.9841236981999,7440.362000000001,0:t_wait:520.7246969097214;t_drive:544.9841236981993;fare:744,,0,0,2,23425.210767543063,24265.036086238128,744,0,,,,False
15,BasicRequest_no_show,1,24100,24100,46621;-1;-1,6670;-1;-1,,,,,305.79171433993974,2511.425,0:t_wait:96.23423971240845;t_drive:335.79171433993906;fare:251,,0,0,14,24196.23423971241,24532.025954052348,251,0,,,,False
17,BasicRequest_no_show,1,24570,24570,37217;-1;-1,664;-1;-1,,,,,357.02884163951,3096.429,0:t_wait:254.8094073731445;t_drive:387.02884163950876;fare:309,24570,0,,,,,309,0,Cancelled RA,4.246823456219075,,False
13,BasicRequest_no_show,1,23430,23430,17195;-1;-1,28938;-1;-1,,,,,415.50470738984455,3116.0860000000002,0:t_wait:831.4032919019774;t_drive:445.50470738984586;fare:311,,0,0,12,24261.40329190197,24706.90799929181,311,0,,,,False
14,BasicRequest_no_show,1,23810,23810,14081;-1;-1,20332;-1;-1,,,,,176.97931817284166,1159.6660000000002,0:t_wait:805.4084958079729;t_drive:206.9793181728419;fare:115,,0,0,4,24615.40849580797,24822.387813980815,115,0,,,,False
16,BasicRequest_no_show,1,24500,24500,39151;-1;-1,2736;-1;-1,,,,,289.95211967195473,2495.7,0:t_wait:234.89029334636507;t_drive:319.9521196719543;fare:249,,0,0,13,24734.890293346365,25054.842413018323,249,0,,,,False
18,BasicRequest_no_show,1,24590,24590,962;-1;-1,46946;-1;-1,,,,,423.38462750746936,3100.8419999999996,0:t_wait:84.73822554798971;t_drive:453.3846275074684;fare:310,,0,0,14,24674.73822554799,25128.122853055458,310,0,,,,False
22,BasicRequest_no_show,3,25200,25200,42941;-1;-1,33936;-1;-1,,,,,274.5870947719188,1537.955,0:,,,,,,,,0,,,,False
24,BasicRequest_no_show,1,25200,25200,42941;-1;-1,45482;-1;-1,,,,,330.2407103220289,1910.6519999999998,0:,,,,,,,,0,,,,False
26,BasicRequest_no_show,1,25200,25200,50883;-1;-1,43785;-1;-1,,,,,639.3927491393325,4764.294,0:,,,,,,,,0,,,,False
28,BasicRequest_no_show,3,25210,25210,42941;-1;-1,45483;-1;-1,,,,,302.25660060330506,1752.197,0:,,,,,,,,0,,,,False
34,BasicRequest_no_show,1,25280,25280,46998;-1;-1,43785;-1;-1,,,,,456.833908844755,3142.934,0:,,,,,,,,0,,,,False
36,BasicRequest_no_show,1,25310,25310,39476;-1;-1,43785;-1;-1,,,,,221.44371682388322,1625.732,0:,,,,,,,,0,,,,False
19,BasicRequest_no_show,1,24910,24910,2855;-1;-1,40974;-1;-1,,,,,271.96320412941486,2417.8089999999997,0:t_wait:94.21733410143497;t_drive:301.9632041294135;fare:241,,0.0,0.0,8.0,25004.21733410143,25313.654814216243,241.0,0,,,,False
39,BasicRequest_no_show,1,25320,25320,42742;-1;-1,43842;-1;-1,,,,,637.7628392519241,4047.941,0:,,,,,,,,0,,,,False
